bill_id,congress,bill_type,bill_number,matched_keywords
hconres21-101,101,hconres,hconres21,china
hconres58-101,101,hconres,hconres58,people's liberation army
hconres63-101,101,hconres,hconres63,china|chinese
hconres65-101,101,hconres,hconres65,people's liberation army
hconres79-101,101,hconres,hconres79,china|people's republic of china
hconres80-101,101,hconres,hconres80,china|people's republic of china
hconres131-101,101,hconres,hconres131,china|chinese|people's republic of china|beijing
hconres132-101,101,hconres,hconres132,china|chinese|people's republic of china
hconres134-101,101,hconres,hconres134,china|chinese|people's republic of china
hconres136-101,101,hconres,hconres136,china|chinese|people's republic of china
hconres142-101,101,hconres,hconres142,china|people's republic of china
hconres163-101,101,hconres,hconres163,china|chinese|people's republic of china
hconres187-101,101,hconres,hconres187,china|people's republic of china
hconres208-101,101,hconres,hconres208,china|people's republic of china
hconres227-101,101,hconres,hconres227,china
hconres233-101,101,hconres,hconres233,china|people's republic of china
hconres234-101,101,hconres,hconres234,china|chinese|people's republic of china
hconres254-101,101,hconres,hconres254,china
hconres332-101,101,hconres,hconres332,china|chinese|beijing
hconres349-101,101,hconres,hconres349,china|chinese|people's republic of china
hjres503-101,101,hjres,hjres503,china|chinese|people's republic of china
hjres556-101,101,hjres,hjres556,china
hjres576-101,101,hjres,hjres576,china|people's republic of china
hjres578-101,101,hjres,hjres578,china|people's republic of china
hjres581-101,101,hjres,hjres581,china|people's republic of china
hjres586-101,101,hjres,hjres586,china|people's republic of china
hjres607-101,101,hjres,hjres607,china|people's republic of china
hjres626-101,101,hjres,hjres626,china|chinese
hjres646-101,101,hjres,hjres646,china|people's republic of china
hjres647-101,101,hjres,hjres647,china|people's republic of china
hr45-101,101,hr,hr45,china|chinese|prc|people's republic of china
hr132-101,101,hr,hr132,china
hr780-101,101,hr,hr780,china
hr1487-101,101,hr,hr1487,china|chinese|people's republic of china
hr1759-101,101,hr,hr1759,china|people's republic of china
hr2002-101,101,hr,hr2002,china|people's republic of china
hr2272-101,101,hr,hr2272,china
hr2494-101,101,hr,hr2494,china|chinese
hr2611-101,101,hr,hr2611,china|chinese|people's republic of china
hr2613-101,101,hr,hr2613,china|people's republic of china
hr2624-101,101,hr,hr2624,china
hr2638-101,101,hr,hr2638,china|people's republic of china
hr2655-101,101,hr,hr2655,china|chinese|people's republic of china|people's liberation army
hr2712-101,101,hr,hr2712,china|chinese|prc|people's republic of china
hr2722-101,101,hr,hr2722,china|chinese|people's republic of china
hr2775-101,101,hr,hr2775,china|chinese|people's republic of china
hr2912-101,101,hr,hr2912,china|chinese|beijing
hr2915-101,101,hr,hr2915,china|chinese|people's republic of china
hr2929-101,101,hr,hr2929,china|chinese|people's republic of china
hr2939-101,101,hr,hr2939,china
hr2966-101,101,hr,hr2966,china|chinese|people's republic of china
hr2991-101,101,hr,hr2991,china|chinese
hr3019-101,101,hr,hr3019,china
