con_legis_num,legislation_number,congress_session,title,cosponsors,bill,gov_track,dc_ratio_aggregate,ratio_binary,manual_coding,URL,canonical_id,in_filter,legislation_id,matched_keywords
101_s.1151,s.1151,101,"Democracy, Liberty, and Justice in the People s Republic of China Act of 1989",0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1151?s=2&r=1,101_s.1151,True,101_s.1151,china|chinese|people's republic of china
101_s.1160,s.1160,101,"Foreign Relations Authorization Act, Fiscal Year 1990",0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1160?q=%7B%22search%22%3A%22Foreign+Relations+Authorization+Act%2C+Fiscal+Year+1990%22%7D&s=8&r=13,101_s.1160,True,101_s.1160,china|chinese|people's republic of china|chinese communist party
101_s.1209,s.1209,101,Chinese Foreign Student and Exchange Visitor Relief Act,10.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1209?q=%7B%22search%22%3A%22s.+1209%22%7D&s=2&r=1,101_s.1209,True,101_s.1209,china|chinese|people's republic of china
101_s.1213,s.1213,101,A bill to establish a presumption of eligibility for asylum in the United States for certain natives of the People s Republic of China.,4.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1213?q=%7B%22search%22%3A%22s.+1213%22%7D&s=4&r=2,101_s.1213,True,101_s.1213,china|people's republic of china
101_s.1218,s.1218,101,Emergency Chinese Visitor Immigration Act of 1989,1.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1218?q=%7B%22search%22%3A%22s.+1218%22%7D&s=6&r=6,101_s.1218,True,101_s.1218,china|chinese|people's republic of china
101_s.1222,s.1222,101,Emergency Chinese Facilitation of Status Adjustment Act of 1989,4.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1222?q=%7B%22search%22%3A%22s.+1222%22%7D&s=9&r=4,101_s.1222,True,101_s.1222,china|chinese|people's republic of china
101_s.1232,s.1232,101,Tiananmen Square Park Authorization Act,24.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1232?q=%7B%22search%22%3A%221232%22%7D&s=10&r=4,101_s.1232,True,101_s.1232,china|chinese|people's republic of china
101_s.1241,s.1241,101,A bill to deny the People s Republic of China most-favored-nation trade treatment.,0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1241?q=%7B%22search%22%3A%221241%22%7D&s=2&r=1,101_s.1241,True,101_s.1241,china|chinese|people's republic of china
101_s.1242,s.1242,101,A bill to deny the People s Republic of China most-favored-nation trade treatment.,0.0,1.0,1.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1242?s=4&r=1,101_s.1242,True,101_s.1242,china|chinese|people's republic of china
101_s.1263,s.1263,101,A bill to treat Hong Kong as a separate foreign state for purposes of applying the numerical limitations on immigration.,3.0,1.0,0.0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1263?s=2&r=1,101_s.1263,False,,
