con_legis_num,legislation_number,congress_session,title,cosponsors,bill,gov_track,dc_ratio_aggregate,ratio_binary,manual_coding,URL
101_s.1151,S. 1151,101,"Democracy, Liberty, and Justice in the People s Republic of China Act of 1989",0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1151?s=2&r=1
101_s.1152,S. 1160,101,"Foreign Relations Authorization Act, Fiscal Year 1990",0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1160?q=%7B%22search%22%3A%22Foreign+Relations+Authorization+Act%2C+Fiscal+Year+1990%22%7D&s=8&r=13
101_s.1153,S. 1209,101,Chinese Foreign Student and Exchange Visitor Relief Act,10,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1209?q=%7B%22search%22%3A%22s.+1209%22%7D&s=2&r=1
101_s.1154,S. 1213,101,A bill to establish a presumption of eligibility for asylum in the United States for certain natives of the People s Republic of China.,4,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1213?q=%7B%22search%22%3A%22s.+1213%22%7D&s=4&r=2
101_s.1155,S. 1218,101,Emergency Chinese Visitor Immigration Act of 1989,1,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1218?q=%7B%22search%22%3A%22s.+1218%22%7D&s=6&r=6
101_s.1156,S. 1222,101,Emergency Chinese Facilitation of Status Adjustment Act of 1989,4,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1222?q=%7B%22search%22%3A%22s.+1222%22%7D&s=9&r=4
101_s.1157,S. 1232,101,Tiananmen Square Park Authorization Act,24,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1232?q=%7B%22search%22%3A%221232%22%7D&s=10&r=4
101_s.1158,S. 1241,101,A bill to deny the People s Republic of China most-favored-nation trade treatment.,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1241?q=%7B%22search%22%3A%221241%22%7D&s=2&r=1
101_s.1159,S. 1242,101,A bill to deny the People s Republic of China most-favored-nation trade treatment.,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1242?s=4&r=1
101_s.1160,s.1263,101,A bill to treat Hong Kong as a separate foreign state for purposes of applying the numerical limitations on immigration.,3,1,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1263?s=2&r=1
101_s.1161,S. 1268,101,Chinese Student Relief Act of 1989,2,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1268?q=%7B%22search%22%3A%221268%22%7D&s=6&r=1
101_s.1162,S. 1278,101,A bill to deny the People s Republic of China most-favored-nation trade treatment.,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1278
101_s.1163,S. 1288,101,Chinese Nationals  Choice of Status Act of 1989,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1288?q=%7B%22search%22%3A%22Chinese+Nationals%E2%80%99+Nationals%27+Nationals%E2%80%98+Choice+of+Status+Statu+Act+1989%22%7D&r=2&s=9
101_s.1164,S. 1347,101,International Security and Development Cooperation Act of 1989,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1347?q=%7B%22search%22%3A%22International+Security+and+Development+Cooperation+Act+of+1989%22%7D&s=10&r=71
101_s.1165,S.1352,101,National Defense Authorization Act for Fiscal Years 1990 and 1991 ,,1,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1352?s=4&r=1
101_s.1166,S. 1370,101,Emergency Chinese Immigration Relief Act of 1989,18,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1370?q=%7B%22search%22%3A%22Emergency+Chinese+Immigration+Relief+Act+of+1989%22%7D&s=1&r=7
101_s.1167,S. 1430,101,National and Community Service Act of 1990,38,1,1,,Unavailable,0,https://www.congress.gov/bill/101st-congress/senate-bill/1430?q=%7B%22search%22%3A%22s.1430%22%7D&s=9&r=1
101_s.1168,S. 1445,101, Omnibus National Defense Authorization Act for Fiscal Years 1990 and 1991,0,1,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1445?s=6&r=1
101_s.1169,S. 1446,101,National Defense Authorization Act for Fiscal Years 1990 and 1991,0,1,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1446?s=8&r=1
101_s.1170,S. 1582,101,Investment in Freedom and Democracy in Poland Act of 1989,13,1,1,,Unavailable,0,https://www.congress.gov/bill/101st-congress/senate-bill/1582?q=%7B%22search%22%3A%22s.1582%22%7D&s=10&r=1
101_s.1171,S. 1630,101,Clean Air Act Amendments of 1990,22,1,1,,Unavailable,0,https://www.congress.gov/bill/101st-congress/senate-bill/1630?q=%7B%22search%22%3A%22s.1630%22%7D&s=5&r=1
101_s.1172,S. 1796,101,Export Administration Act of 1990,1,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/1796?q=%7B%22search%22%3A%22s.1796%22%7D&s=3&r=1
101_s.1173,S. 208,101,Prevention of Missile Transfers to the Middle East Act,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/208?q=%7B%22search%22%3A%22Prevention+of+Missile+Transfers+Transfer+to+the+Middle+East+Act%22%7D&s=2&r=2
101_s.1174,S. 2685,101,Export Promotion and Control Act of 1990,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2685?q=%7B%22search%22%3A%22Export+Promotion+and+Control+Act+of+1990%22%7D&s=3&r=19
101_s.1175,S. 2749,101,"Supplemental Foreign Relations Authorization Act, Fiscal Year 1991",0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2749?q=%7B%22search%22%3A%22Supplemental+Foreign+Relations+Relation+Authorization+Act%2C+Fiscal+Year+1991%22%7D&s=5&r=7
101_s.1176,s.2834,101,Intelligence Authorization Act for Fiscal Year 1991,,1,0,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2834?q=%7B%22search%22%3A%22S.+2834%22%7D&s=4&r=1
101_s.1177,S. 2836,101,Support for Democracy and Human Rights in China Act of 1990,24,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2836?q=%7B%22search%22%3A%22Support+for+Democracy+and+Human+Rights+Right+in+China+Act+of+1990%22%7D&s=6&r=4
101_s.1178,S. 2884,101,National Defense Authorization Act for Fiscal Year 1991,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2884?q=%7B%22search%22%3A%22National+Defense+Authorization+Act+for+Fiscal+Year+1991%22%7D&s=7&r=22
101_s.1179,S. 2905,101,National Defense Authorization Act for Fiscal Year 1991,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2905?q=%7B%22search%22%3A%22National+Defense+Authorization+Act+for+Fiscal+Year+1991%22%7D&s=7&r=21
101_s.1180,S. 2906,101,National Defense Authorization Act for Fiscal Year 1991,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2906?q=%7B%22search%22%3A%22National+Defense+Authorization+Act+for+Fiscal+Year+1991%22%7D&s=7&r=20
101_s.1181,S. 2911,101,National Defense Authorization Act for Fiscal Year 1991,0,1,1,,Unavailable,1,https://www.congress.gov/bill/101st-congress/senate-bill/2911?q=%7B%22search%22%3A%22National+Defense+Authorization+Act+for+Fiscal+Year+1991%22%7D&s=7&r=17
