"con_legis_num","congress","target","title","link","label_a","label_b","notes_a","notes_b","final_label"
"119_s.732","119","test_119","A bill to amend the Defense Production Act of 1950 with respect to foreign investments in United States agriculture, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/732","Yes","No","","","No"
"119_s.1867","119","test_119","A bill to provide for phase-out of de minimis treatment under the Tariff Act of 1930, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/1867","Yes","No","","","Yes"
"119_h.r.3028","119","test_119","To amend the Harmonized Tariff Schedule of the United States to provide a uniform 8-digit subheading number for all whiskies.","https://www.congress.gov/bill/119th-congress/house-bill/3028","Yes","No","","","No"
"119_h.r.2503","119","test_119","To require the development of a strategy to eliminate the availability to foreign adversaries of goods and technologies capable of supporting undersea cables, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/2503","No","Yes","","","No"
"119_h.r.390","119","test_119","To utlitize the Advanced Capabilities for Emergency Response to Operations project of NASA to improve aerial responses to wildfires, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/390","Yes","No","","","No"
"119_h.r.1713","119","test_119","To amend the Defense Production Act of 1950 to include the Secretary of Agriculture as a member of the Committee on Foreign Investment in the United States, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/1713","Yes","No","","","No"
"119_h.res.104","119","test_119","Providing amounts for the expenses of the Select Committee on the Strategic Competition Between the United States and the Chinese Communist Party in the One Hundred Nineteenth Congress.","https://www.congress.gov/bill/119th-congress/house-resolution/104","No","Yes","","","No"
"110_h.r.5209","110","train_neg","To suspend temporarily the duty on Pressure Hose with red jacket, 42 millimeters outside diameter x 32 millimeters inside diameter.","https://www.congress.gov/bill/110th-congress/house-bill/5209","Yes","No","","","No"
"112_s.2754","112","train_neg","A bill to extend the temporary suspension of duty on 4,4'-oxydianiline.","https://www.congress.gov/bill/112th-congress/senate-bill/2754","Yes","No","","","No"
"119_h.r.5959","119","test_119","To reauthorize the North Korean Human Rights Act of 2004, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/5959","Yes","No","","","No"
"119_s.753","119","test_119","A bill to amend the Export-Import Bank Act of 1945 to exclude certain financing from the calculation of the default rate for purposes of determining when the lending cap under such Act applies, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/753","Yes","No","","","Yes"
"119_h.r.3635","119","test_119","To prohibit Members of Congress from conducting certain financial transactions involving a foreign adversary of the United States, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/3635","Yes","No","","same with bill H.R. 4802","No"
"119_h.r.1948","119","test_119","To authorize the International Boundary and Water Commission to accept funds for activities relating to wastewater treatment and flood control works, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/1948","No","Yes","","","No"
"119_s.429","119","test_119","A bill to enhance the economic and national security of the United States by securing a reliable supply of critical minerals and rare earth elements through trade agreements and strategic partnerships.","https://www.congress.gov/bill/119th-congress/senate-bill/429","No","Yes","","REMs have major China relevance","Yes"
"119_s.393","119","test_119","A bill to amend the Energy Policy and Conservation Act to prohibit the export or sale of petroleum products from the Strategic Petroleum Reserve to certain entities, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/393","Yes","No","","","No"
"119_h.r.4617","119","test_119","To monitor United States investments in entities that are controlled by foreign adversaries, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/4617","Yes","No","","Covers foreign adversaries generally","No"
"119_s.2574","119","test_119","A bill to prohibit certain persons from purchasing agricultural land in the United States, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/2574","Yes","No","","same with bill H.R. 4802","No"
"116_h.r.3230","116","train_neg","To combat the spread of disinformation through restrictions on deep-fake video alteration technology.","https://www.congress.gov/bill/116th-congress/house-bill/3230","Yes","No","","","No"
"119_s.2861","119","test_119","A bill to direct the United States Trade Representative to prioritize North American alignment on foreign investment review during the next joint review conducted under the United States-Mexico-Canada Agreement.","https://www.congress.gov/bill/119th-congress/senate-bill/2861","Yes","No","","","Yes"
"119_s.974","119","test_119","A bill to direct the Secretary of the State to seek to enter into negotiations with the Taipei Economic and Cultural Representative Office to rename its office the ""Taiwan Representative Office"", and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/974","Yes","No","","","Yes"
"119_h.r.4736","119","test_119","To amend the Trade Act of 1974 to modify the authority of the Trade Representative to take actions with respect to certain foreign trade practices, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/4736","Yes","No","","","Yes"
"119_h.r.5626","119","test_119","To provide expanded cooperation by the National Aeronautics and Space Administration and the National Oceanic and Atmospheric Administration with Taiwan, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/5626","No","Yes","","","Yes"
"119_s.2354","119","test_119","An original bill making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2026, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/2354","Yes","No","","","No"
"119_s.2268","119","test_119","A bill to amend the Defense Production Act of 1950 to include the Secretary of Agriculture as a member of the Committee on Foreign Investment in the United States, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/2268","No","Yes","","","No"
"119_s.res.54","119","test_119","A resolution expressing the vital importance of the Panama Canal to the United States.","https://www.congress.gov/bill/119th-congress/senate-resolution/54","No","Yes","","","Yes"
"119_h.r.1615","119","test_119","To amend the Export-Import Bank Act of 1945 to exclude certain financing from the calculation of the default rate for purposes of determining when the lending cap under such Act applies, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/1615","Yes","No","","","Yes"
"119_s.259","119","test_119","A bill to direct the Federal Communications Commission to publish a list of entities that hold authorizations, licenses, or other grants of authority issued by the Commission and that have certain foreign ownership, and for other purposes.","https://www.congress.gov/bill/119th-congress/senate-bill/259","No","Yes","same with bill H.R. 4802","","No"
"119_s.3153","119","test_119","A bill to require inclusion on the list of Chinese military companies operating in the United States of Chinese entities on certain other lists maintained by the United States Government.","https://www.congress.gov/bill/119th-congress/senate-bill/3153","Yes","No","","","Yes"
"119_h.r.2114","119","test_119","To amend titles XVIII and XIX of the Social Security Act, title XXVII of the Public Health Service Act, and the National Organ Transplant Act to prohibit certain organ transplants with specified connections to the People's Republic of China.","https://www.congress.gov/bill/119th-congress/house-bill/2114","Yes","No","","","Yes"
"119_h.res.1020","119","test_119","Honoring President Donald J. Trump for securing a historic strategic agreement establishing permanent United States sovereignty and control over critical military installations in Greenland, strengthening Arctic security, and countering malign Russian and Chinese influence.","https://www.congress.gov/bill/119th-congress/house-resolution/1020","Yes","No","","","Yes"
"119_h.r.5246","119","test_119","To provide for the political affairs authorities of the Department of State, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/5246","Yes","No","","","Yes"
"119_h.r.3786","119","test_119","To amend the Harmonized Tariff Schedule of the United States to increase the rate of duty on unmanned aircraft, and for other purposes.","https://www.congress.gov/bill/119th-congress/house-bill/3786","Yes","No","","","Yes"
