con_legis_num,congress,target,manual_coding
119_h.r.116,119,test_119,0
119_h.r.3575,119,test_119,0
119_h.r.1531,119,test_119,1
110_h.r.744,110,train_neg,0
119_s.2475,119,test_119,0
119_h.r.1548,119,test_119,0
119_s.2960,119,test_119,1
119_s.103,119,test_119,1
119_s.3018,119,test_119,1
119_s.3181,119,test_119,1
112_h.r.5223,112,train_neg,0
119_h.res.689,119,test_119,1
119_s.res.355,119,test_119,0
119_h.r.2246,119,test_119,1
119_h.r.3264,119,test_119,1
119_s.680,119,test_119,1
119_h.r.1069,119,test_119,1
119_h.res.861,119,test_119,1
119_h.res.1018,119,test_119,0
103_h.r.1307,103,train_neg,0
119_h.r.6581,119,test_119,0
108_s.2774,108,train_neg,0
119_h.r.6528,119,test_119,1
109_h.res.545,109,train_neg,0
119_s.2560,119,test_119,1
119_s.1900,119,test_119,1
119_s.1364,119,test_119,0
119_h.r.4427,119,test_119,0
119_s.2222,119,test_119,1
119_s.3036,119,test_119,1
119_h.r.4360,119,test_119,1
119_h.r.328,119,test_119,0
119_h.r.1512,119,test_119,0
119_h.res.100,119,test_119,1
109_s.3311,109,train_neg,0
119_h.r.1,119,test_119,0
119_h.r.2416,119,test_119,1
119_s.244,119,test_119,0
119_h.r.322,119,test_119,0
119_h.r.5287,119,test_119,1
119_s.3320,119,test_119,1
109_h.r.2003,109,train_neg,0
119_h.r.5491,119,test_119,1
119_h.con.res.8,119,test_119,1
107_s.2320,107,train_neg,0
119_s.res.409,119,test_119,1
119_s.1979,119,test_119,0
119_h.r.3721,119,test_119,1
119_s.3405,119,test_119,1
101_s.803,101,train_neg,0
119_s.2552,119,test_119,1
101_s.1059,101,train_neg,0
119_h.r.4361,119,test_119,1
101_h.r.1156,101,train_neg,0
119_s.417,119,test_119,1
119_s.912,119,test_119,1
119_h.r.6262,119,test_119,1
119_h.r.2806,119,test_119,1
119_h.r.1716,119,test_119,1
119_h.r.5986,119,test_119,1
119_h.r.4142,119,test_119,0
119_s.j.res.77,119,test_119,0
119_h.r.2969,119,test_119,0
119_h.r.1122,119,test_119,1
119_h.r.5153,119,test_119,0
119_s.res.567,119,test_119,0
119_s.715,119,test_119,1
103_h.r.3475,103,train_neg,0
119_h.r.1184,119,test_119,1
119_h.r.6938,119,test_119,0
119_s.2297,119,test_119,0
108_h.r.1978,108,train_neg,0
119_s.2168,119,test_119,1
119_h.r.1575,119,test_119,1
119_h.r.3563,119,test_119,1
119_s.3562,119,test_119,0
119_h.r.1654,119,test_119,0
119_h.r.1496,119,test_119,0
105_h.r.3150,105,train_neg,0
105_s.1550,105,train_neg,0
119_h.r.6500,119,test_119,0
111_s.2062,111,train_neg,0
119_h.r.809,119,test_119,1
119_s.res.353,119,test_119,0
102_s.2923,102,train_neg,0
119_s.436,119,test_119,0
109_s.3203,109,train_neg,0
119_s.3447,119,test_119,1
114_s.j.res.11,114,train_neg,0
119_s.3327,119,test_119,0
101_s.2759,101,train_neg,0
107_h.r.4562,107,train_neg,0
119_h.r.1717,119,test_119,0
119_h.r.4458,119,test_119,1
119_s.1339,119,test_119,1
119_s.2046,119,test_119,1
119_h.r.1834,119,test_119,0
119_h.res.353,119,test_119,0
102_h.r.3305,102,train_neg,0
119_h.r.694,119,test_119,1
119_s.1407,119,test_119,1
109_h.r.2537,109,train_neg,0
119_h.r.2390,119,test_119,1
119_s.j.res.49,119,test_119,0
119_h.r.407,119,test_119,0
102_h.r.1519,102,train_neg,0
119_s.49,119,test_119,1
119_h.r.2349,119,test_119,1
119_h.r.6207,119,test_119,0
102_s.2648,102,train_neg,0
119_h.r.3737,119,test_119,1
119_h.r.6781,119,test_119,0
119_s.3566,119,test_119,1
119_s.776,119,test_119,0
119_h.r.4888,119,test_119,0
119_h.r.2147,119,test_119,1
119_s.3416,119,test_119,0
119_h.r.4140,119,test_119,0
109_s.3260,109,train_neg,0
111_h.res.705,111,train_neg,0
119_h.r.1111,119,test_119,0
119_h.r.5180,119,test_119,1
101_s.2581,101,train_neg,0
119_s.1113,119,test_119,1
107_s.res.283,107,train_neg,0
119_s.1542,119,test_119,1
102_h.r.1853,102,train_neg,0
119_h.r.477,119,test_119,0
119_s.3056,119,test_119,1
119_s.2874,119,test_119,0
119_s.288,119,test_119,1
111_h.res.687,111,train_neg,0
119_h.r.2635,119,test_119,1
119_s.330,119,test_119,1
119_s.1358,119,test_119,1
119_s.1185,119,test_119,0
112_h.r.4796,112,train_neg,0
119_s.1625,119,test_119,1
119_h.r.6318,119,test_119,0
119_s.1886,119,test_119,0
119_s.1711,119,test_119,1
119_h.r.5450,119,test_119,0
112_s.3269,112,train_neg,0
112_h.r.5692,112,train_neg,0
111_h.r.1980,111,train_neg,0
119_h.r.2022,119,test_119,0
119_h.r.1318,119,test_119,0
119_h.r.4802,119,test_119,0
119_s.res.351,119,test_119,0
119_s.199,119,test_119,1
119_s.151,119,test_119,0
119_h.res.110,119,test_119,1
119_h.r.1701,119,test_119,1
119_h.res.106,119,test_119,0
119_s.947,119,test_119,1
119_s.res.540,119,test_119,0
106_s.2143,106,train_neg,0
105_h.con.res.22,105,train_neg,0
119_h.r.906,119,test_119,0
119_h.res.130,119,test_119,1
119_h.r.3201,119,test_119,0
119_s.3614,119,test_119,0
119_h.r.3225,119,test_119,0
119_h.r.692,119,test_119,1
119_s.179,119,test_119,0
112_s.2640,112,train_neg,0
119_s.951,119,test_119,0
119_s.1755,119,test_119,1
119_h.r.509,119,test_119,1
119_s.res.61,119,test_119,1
119_h.r.5244,119,test_119,0
119_h.r.4335,119,test_119,0
119_h.r.3292,119,test_119,0
107_h.r.4463,107,train_neg,0
119_h.r.252,119,test_119,1
119_s.731,119,test_119,1
119_s.176,119,test_119,1
119_h.r.386,119,test_119,1
119_h.r.3982,119,test_119,0
119_h.r.6447,119,test_119,1
119_h.r.6496,119,test_119,0
119_h.r.3461,119,test_119,1
119_h.r.1920,119,test_119,0
112_h.r.5173,112,train_neg,0
119_h.res.937,119,test_119,0
119_s.res.339,119,test_119,0
106_h.r.2064,106,train_neg,0
119_h.r.1504,119,test_119,1
119_s.1731,119,test_119,1
119_h.r.6846,119,test_119,0
104_s.1356,104,train_neg,0
106_s.2175,106,train_neg,0
119_h.res.368,119,test_119,0
112_s.2762,112,train_neg,0
119_s.1512,119,test_119,0
