con_legis_num,intern,label,notes
115_s.2872,Asher S.,No,
119_s.732,Asher S.,Yes,
119_h.r.116,Asher S.,No,
119_h.r.3575,Asher S.,No,
119_s.1867,Asher S.,Yes,
119_h.r.1531,Asher S.,Yes,
110_h.r.744,Asher S.,No,
119_h.r.3028,Asher S.,Yes,
119_s.2475,Asher S.,No,
119_h.r.1548,Asher S.,No,
119_s.2960,Asher S.,Yes,
119_s.103,Asher S.,Yes,
119_h.r.2503,Asher S.,No,
119_s.3018,Asher S.,Yes,
119_s.3181,Asher S.,Yes,
112_h.r.5223,Asher S.,No,
119_h.res.689,Asher S.,Yes,
119_s.res.355,Asher S.,No,
119_h.r.2246,Asher S.,Yes,
119_h.r.3264,Asher S.,Yes,
115_s.1780,Asher S.,Yes,
119_s.680,Asher S.,Yes,
119_h.r.1069,Asher S.,Yes,
119_h.res.861,Asher S.,Yes,
119_h.res.1018,Asher S.,No,
103_h.r.1307,Asher S.,No,
119_h.r.6581,Asher S.,No,
108_s.2774,Asher S.,No,
119_h.r.6528,Asher S.,Yes,
109_h.res.545,Asher S.,No,
119_s.2560,Asher S.,Yes,
119_s.1900,Asher S.,Yes,
119_s.1364,Asher S.,No,
119_h.r.4427,Asher S.,No,
101_s.1278,Asher S.,Yes,
119_s.2222,Asher S.,Yes,
119_h.r.390,Asher S.,Yes,
119_s.3036,Asher S.,Yes,
119_h.r.4360,Asher S.,Yes,
119_h.r.328,Asher S.,No,
119_h.r.1512,Asher S.,No,
119_h.res.100,Asher S.,Yes,
109_s.3311,Asher S.,No,
119_h.r.1,Asher S.,No,
119_h.r.2416,Asher S.,Yes,
119_s.244,Asher S.,No,
119_h.r.322,Asher S.,No,
119_h.r.1713,Asher S.,Yes,
119_h.r.5287,Asher S.,Yes,
119_s.3320,Asher S.,Yes,
119_h.res.104,Asher S.,No,
109_h.r.2003,Asher S.,No,
119_h.r.5491,Asher S.,Yes,
119_h.con.res.8,Asher S.,Yes,
107_s.2320,Asher S.,No,
119_s.res.409,Asher S.,Yes,
119_s.1979,Asher S.,No,
119_h.r.3721,Asher S.,Yes,
119_s.3405,Asher S.,Yes,
101_s.803,Asher S.,No,
119_s.2552,Asher S.,Yes,
110_h.r.5209,Asher S.,Yes,
112_s.2754,Asher S.,Yes,
101_s.1059,Asher S.,No,
119_h.r.5959,Asher S.,Yes,
119_h.r.4361,Asher S.,Yes,
119_s.753,Asher S.,Yes,
101_h.r.1156,Asher S.,No,
119_s.417,Asher S.,Yes,
119_s.912,Asher S.,Yes,
119_h.r.6262,Asher S.,Yes,
119_h.r.3635,Asher S.,Yes,
119_h.r.2806,Asher S.,Yes,
119_h.r.1716,Asher S.,Yes,
119_h.r.1948,Asher S.,No,
119_h.r.5986,Asher S.,Yes,
119_h.r.4142,Asher S.,No,
119_s.429,Asher S.,No,
116_s.4018,Asher S.,No,
119_s.j.res.77,Asher S.,No,
119_h.r.2969,Asher S.,No,
119_h.r.1122,Asher S.,Yes,
119_h.r.5153,Asher S.,No,
119_s.res.567,Asher S.,No,
119_s.715,Asher S.,Yes,
114_s.3469,Asher S.,Yes,
103_h.r.3475,Asher S.,No,
119_h.r.1184,Asher S.,Yes,
119_h.r.6938,Asher S.,No,
119_s.2297,Asher S.,No,
108_h.r.1978,Asher S.,No,
119_s.2168,Asher S.,Yes,
119_s.393,Asher S.,Yes,
119_h.r.1575,Asher S.,Yes,
119_h.r.3563,Asher S.,Yes,"Doesn't mention China specifically, but certainly does Taiwan in a way that would concern the Chinese government. Unsure if the ""Includes bills that mention Taiwan"" in the instructions means all bills."
119_s.3562,Asher S.,No,
119_h.r.1654,Asher S.,No,
119_h.r.4617,Asher S.,Yes,
119_h.r.1496,Asher S.,No,
105_h.r.3150,Asher S.,No,
117_s.res.538,Asher S.,No,"only mentions China as a ""malign actor"" in passing, without consequences for any businesses in the US"
105_s.1550,Asher S.,No,
119_h.r.6500,Asher S.,No,
111_s.2062,Asher S.,No,
119_h.r.809,Asher S.,Yes,
119_s.res.353,Asher S.,No,
102_s.2923,Asher S.,No,
119_s.436,Asher S.,No,
109_s.3203,Asher S.,No,
101_s.2944,Asher S.,No,
119_s.2574,Asher S.,Yes,
119_s.3447,Asher S.,Yes,
116_h.r.3230,Asher S.,Yes,
114_s.j.res.11,Asher S.,No,
119_s.3327,Asher S.,No,
101_s.2759,Asher S.,No,
107_h.r.4562,Asher S.,No,
119_h.r.1717,Asher S.,No,
119_h.r.4458,Asher S.,Yes,
119_s.1339,Asher S.,Yes,
109_s.2317,Asher S.,No,
119_s.2046,Asher S.,Yes,
119_s.2861,Asher S.,Yes,
119_h.r.1834,Asher S.,No,
119_h.res.353,Asher S.,No,
102_h.r.3305,Asher S.,No,
119_h.r.694,Asher S.,Yes,
119_s.1407,Asher S.,Yes,
109_h.r.2537,Asher S.,No,
119_h.r.2390,Asher S.,Yes,
119_s.j.res.49,Asher S.,No,
119_h.r.407,Asher S.,No,
102_h.r.1519,Asher S.,No,
119_s.49,Asher S.,Yes,
119_h.r.2349,Asher S.,Yes,
119_h.r.6207,Asher S.,No,
102_s.2648,Asher S.,No,
112_s.15,Asher S.,No,
119_h.r.3737,Asher S.,Yes,
119_h.r.6781,Asher S.,No,
119_s.3566,Asher S.,Yes,
119_s.776,Asher S.,No,
119_h.r.4888,Asher S.,No,
118_s.2754,Asher S.,No,
119_h.r.2147,Asher S.,Yes,
119_s.3416,Asher S.,No,
119_h.r.4140,Asher S.,No,
109_s.3260,Asher S.,No,
119_s.974,Asher S.,Yes,
111_h.res.705,Asher S.,No,
119_h.r.1111,Asher S.,No,
119_h.r.5180,Asher S.,Yes,
101_s.2581,Asher S.,No,
119_s.1113,Asher S.,Yes,
119_h.r.4736,Asher S.,Yes,
107_s.res.283,Asher S.,No,
119_s.1542,Asher S.,Yes,
102_h.r.1853,Asher S.,No,
119_h.r.477,Asher S.,No,
119_s.3056,Asher S.,Yes,
119_s.2874,Asher S.,No,
119_s.288,Asher S.,Yes,
111_h.res.687,Asher S.,No,
119_h.r.2635,Asher S.,Yes,
119_s.330,Asher S.,Yes,
119_s.1358,Asher S.,Yes,
119_s.1185,Asher S.,No,
