legislation_id,congress,legislation_type,legislation_number,matched_keywords,category
101_h.con.res.17,101,hconres,hconres17,human rights,concurrent_res
101_h.con.res.21,101,hconres,hconres21,china|taiwan,concurrent_res
101_h.con.res.43,101,hconres,hconres43,human rights,concurrent_res
101_h.con.res.47,101,hconres,hconres47,panama canal,concurrent_res
101_h.con.res.58,101,hconres,hconres58,people's liberation army,concurrent_res
101_h.con.res.59,101,hconres,hconres59,tariff,concurrent_res
101_h.con.res.63,101,hconres,hconres63,china|chinese|tibet|human rights,concurrent_res
101_h.con.res.64,101,hconres,hconres64,human rights,concurrent_res
101_h.con.res.65,101,hconres,hconres65,people's liberation army,concurrent_res
101_h.con.res.70,101,hconres,hconres70,human rights,concurrent_res
101_h.con.res.75,101,hconres,hconres75,human rights,concurrent_res
101_h.con.res.79,101,hconres,hconres79,china|people's republic of china|hong kong|human rights,concurrent_res
101_h.con.res.80,101,hconres,hconres80,china|people's republic of china|tibet|human rights,concurrent_res
101_h.con.res.84,101,hconres,hconres84,human rights,concurrent_res
101_h.con.res.87,101,hconres,hconres87,human rights,concurrent_res
101_h.con.res.94,101,hconres,hconres94,human rights,concurrent_res
101_h.con.res.100,101,hconres,hconres100,human rights,concurrent_res
101_h.con.res.104,101,hconres,hconres104,human rights,concurrent_res
101_h.con.res.107,101,hconres,hconres107,tariff,concurrent_res
101_h.con.res.113,101,hconres,hconres113,human rights,concurrent_res
101_h.con.res.118,101,hconres,hconres118,panama canal,concurrent_res
101_h.con.res.122,101,hconres,hconres122,human rights,concurrent_res
101_h.con.res.124,101,hconres,hconres124,human rights,concurrent_res
101_h.con.res.127,101,hconres,hconres127,panama canal,concurrent_res
101_h.con.res.131,101,hconres,hconres131,china|chinese|people's republic of china|beijing|human rights,concurrent_res
101_h.con.res.132,101,hconres,hconres132,china|chinese|people's republic of china|human rights,concurrent_res
101_h.con.res.134,101,hconres,hconres134,china|chinese|people's republic of china|human rights,concurrent_res
101_h.con.res.136,101,hconres,hconres136,china|chinese|people's republic of china|human rights,concurrent_res
101_h.con.res.142,101,hconres,hconres142,china|people's republic of china,concurrent_res
101_h.con.res.148,101,hconres,hconres148,panama canal,concurrent_res
101_h.con.res.152,101,hconres,hconres152,human rights,concurrent_res
101_h.con.res.153,101,hconres,hconres153,human rights,concurrent_res
101_h.con.res.154,101,hconres,hconres154,human rights,concurrent_res
101_h.con.res.155,101,hconres,hconres155,human rights,concurrent_res
101_h.con.res.160,101,hconres,hconres160,human rights,concurrent_res
101_h.con.res.163,101,hconres,hconres163,china|chinese|people's republic of china|human rights,concurrent_res
101_h.con.res.165,101,hconres,hconres165,human rights,concurrent_res
101_h.con.res.174,101,hconres,hconres174,human rights,concurrent_res
101_h.con.res.176,101,hconres,hconres176,human rights,concurrent_res
101_h.con.res.185,101,hconres,hconres185,human rights,concurrent_res
101_h.con.res.187,101,hconres,hconres187,china|people's republic of china|hong kong,concurrent_res
101_h.con.res.192,101,hconres,hconres192,human rights,concurrent_res
101_h.con.res.204,101,hconres,hconres204,taiwan,concurrent_res
101_h.con.res.206,101,hconres,hconres206,human rights,concurrent_res
101_h.con.res.207,101,hconres,hconres207,human rights,concurrent_res
101_h.con.res.208,101,hconres,hconres208,china|people's republic of china|tibet|human rights,concurrent_res
101_h.con.res.209,101,hconres,hconres209,dalai lama|tibet,concurrent_res
101_h.con.res.214,101,hconres,hconres214,taiwan,concurrent_res
101_h.con.res.217,101,hconres,hconres217,human rights,concurrent_res
101_h.con.res.223,101,hconres,hconres223,hong kong|human rights,concurrent_res
101_h.con.res.227,101,hconres,hconres227,china|hong kong,concurrent_res
101_h.con.res.233,101,hconres,hconres233,china|people's republic of china|taiwan|human rights,concurrent_res
101_h.con.res.234,101,hconres,hconres234,china|chinese|people's republic of china|taiwan,concurrent_res
101_h.con.res.235,101,hconres,hconres235,taiwan|human rights|taiwanese,concurrent_res
101_h.con.res.236,101,hconres,hconres236,human rights,concurrent_res
101_h.con.res.249,101,hconres,hconres249,human rights,concurrent_res
101_h.con.res.250,101,hconres,hconres250,human rights,concurrent_res
101_h.con.res.254,101,hconres,hconres254,china,concurrent_res
101_h.con.res.259,101,hconres,hconres259,human rights,concurrent_res
101_h.con.res.264,101,hconres,hconres264,human rights,concurrent_res
101_h.con.res.266,101,hconres,hconres266,human rights,concurrent_res
101_h.con.res.270,101,hconres,hconres270,human rights,concurrent_res
101_h.con.res.274,101,hconres,hconres274,human rights,concurrent_res
101_h.con.res.282,101,hconres,hconres282,human rights,concurrent_res
101_h.con.res.289,101,hconres,hconres289,human rights,concurrent_res
101_h.con.res.293,101,hconres,hconres293,taiwan,concurrent_res
101_h.con.res.296,101,hconres,hconres296,human rights,concurrent_res
101_h.con.res.298,101,hconres,hconres298,human rights,concurrent_res
101_h.con.res.313,101,hconres,hconres313,human rights,concurrent_res
101_h.con.res.314,101,hconres,hconres314,human rights,concurrent_res
101_h.con.res.315,101,hconres,hconres315,human rights,concurrent_res
101_h.con.res.320,101,hconres,hconres320,human rights,concurrent_res
101_h.con.res.323,101,hconres,hconres323,human rights,concurrent_res
101_h.con.res.324,101,hconres,hconres324,human rights,concurrent_res
101_h.con.res.327,101,hconres,hconres327,human rights,concurrent_res
101_h.con.res.332,101,hconres,hconres332,china|chinese|beijing|human rights,concurrent_res
101_h.con.res.335,101,hconres,hconres335,human rights,concurrent_res
101_h.con.res.343,101,hconres,hconres343,hong kong|human rights,concurrent_res
101_h.con.res.349,101,hconres,hconres349,china|chinese|people's republic of china|dalai lama|tibet|human rights,concurrent_res
101_h.con.res.352,101,hconres,hconres352,human rights,concurrent_res
101_h.con.res.355,101,hconres,hconres355,human rights,concurrent_res
101_h.con.res.356,101,hconres,hconres356,human rights,concurrent_res
101_h.con.res.359,101,hconres,hconres359,dalai lama|tibet,concurrent_res
101_h.con.res.367,101,hconres,hconres367,human rights,concurrent_res
101_h.con.res.380,101,hconres,hconres380,human rights,concurrent_res
101_h.con.res.383,101,hconres,hconres383,human rights,concurrent_res
101_h.con.res.385,101,hconres,hconres385,human rights,concurrent_res
101_h.j.res.218,101,hjres,hjres218,tariff,joint_res
101_h.j.res.246,101,hjres,hjres246,human rights,joint_res
101_h.j.res.249,101,hjres,hjres249,tariff,joint_res
101_h.j.res.292,101,hjres,hjres292,human rights,joint_res
101_h.j.res.503,101,hjres,hjres503,china|chinese|people's republic of china|tibet|human rights,joint_res
101_h.j.res.553,101,hjres,hjres553,foreign entities,joint_res
101_h.j.res.556,101,hjres,hjres556,china|tibet|human rights,joint_res
101_h.j.res.567,101,hjres,hjres567,human rights,joint_res
101_h.j.res.576,101,hjres,hjres576,china|people's republic of china|human rights,joint_res
101_h.j.res.578,101,hjres,hjres578,china|people's republic of china|human rights,joint_res
101_h.j.res.581,101,hjres,hjres581,china|people's republic of china|human rights,joint_res
101_h.j.res.586,101,hjres,hjres586,china|people's republic of china|human rights,joint_res
101_h.j.res.588,101,hjres,hjres588,human rights,joint_res
101_h.j.res.607,101,hjres,hjres607,china|people's republic of china|tibet|human rights,joint_res
101_h.j.res.620,101,hjres,hjres620,human rights,joint_res
101_h.j.res.626,101,hjres,hjres626,china|chinese,joint_res
101_h.j.res.646,101,hjres,hjres646,china|people's republic of china|human rights,joint_res
101_h.j.res.647,101,hjres,hjres647,china|people's republic of china|human rights,joint_res
101_h.j.res.658,101,hjres,hjres658,human rights,joint_res
101_h.j.res.679,101,hjres,hjres679,human rights,joint_res
101_h.r.21,101,hr,hr21,human rights,bill
101_h.r.37,101,hr,hr37,foreign entities,bill
101_h.r.45,101,hr,hr45,china|chinese|prc|people's republic of china|human rights,bill
101_h.r.90,101,hr,hr90,tariff,bill
101_h.r.98,101,hr,hr98,tariff,bill
101_h.r.132,101,hr,hr132,china,bill
101_h.r.280,101,hr,hr280,human rights,bill
101_h.r.301,101,hr,hr301,tariff,bill
101_h.r.376,101,hr,hr376,human rights,bill
101_h.r.398,101,hr,hr398,human rights,bill
101_h.r.490,101,hr,hr490,tariff,bill
101_h.r.492,101,hr,hr492,tariff,bill
101_h.r.542,101,hr,hr542,tariff,bill
101_h.r.600,101,hr,hr600,tariff,bill
101_h.r.653,101,hr,hr653,tariff,bill
101_h.r.698,101,hr,hr698,tariff,bill
101_h.r.725,101,hr,hr725,human rights,bill
101_h.r.731,101,hr,hr731,tariff,bill
101_h.r.732,101,hr,hr732,tariff,bill
101_h.r.767,101,hr,hr767,tariff,bill
101_h.r.771,101,hr,hr771,tariff,bill
101_h.r.780,101,hr,hr780,china,bill
101_h.r.782,101,hr,hr782,tariff,bill
101_h.r.840,101,hr,hr840,tariff,bill
101_h.r.863,101,hr,hr863,tariff,bill
101_h.r.879,101,hr,hr879,human rights,bill
101_h.r.912,101,hr,hr912,tariff,bill
101_h.r.914,101,hr,hr914,tariff,bill
101_h.r.924,101,hr,hr924,tariff,bill
101_h.r.943,101,hr,hr943,tariff,bill
101_h.r.944,101,hr,hr944,tariff,bill
101_h.r.971,101,hr,hr971,tariff,bill
101_h.r.1001,101,hr,hr1001,tariff,bill
101_h.r.1027,101,hr,hr1027,tariff,bill
101_h.r.1041,101,hr,hr1041,tariff,bill
101_h.r.1067,101,hr,hr1067,human rights|tariff,bill
101_h.r.1094,101,hr,hr1094,tariff,bill
101_h.r.1126,101,hr,hr1126,tariff,bill
101_h.r.1156,101,hr,hr1156,tariff,bill
101_h.r.1160,101,hr,hr1160,tariff,bill
101_h.r.1184,101,hr,hr1184,tariff,bill
101_h.r.1196,101,hr,hr1196,tariff,bill
101_h.r.1198,101,hr,hr1198,tariff,bill
101_h.r.1220,101,hr,hr1220,tariff,bill
101_h.r.1233,101,hr,hr1233,tariff,bill
101_h.r.1240,101,hr,hr1240,human rights,bill
101_h.r.1268,101,hr,hr1268,foreign entities,bill
101_h.r.1284,101,hr,hr1284,tariff,bill
101_h.r.1316,101,hr,hr1316,human rights,bill
101_h.r.1319,101,hr,hr1319,human rights,bill
101_h.r.1320,101,hr,hr1320,tariff,bill
101_h.r.1321,101,hr,hr1321,tariff,bill
101_h.r.1322,101,hr,hr1322,tariff,bill
101_h.r.1323,101,hr,hr1323,tariff,bill
101_h.r.1347,101,hr,hr1347,panama canal,bill
101_h.r.1348,101,hr,hr1348,panama canal,bill
101_h.r.1360,101,hr,hr1360,tariff,bill
101_h.r.1380,101,hr,hr1380,human rights,bill
101_h.r.1428,101,hr,hr1428,tariff,bill
101_h.r.1442,101,hr,hr1442,tariff,bill
101_h.r.1443,101,hr,hr1443,tariff,bill
101_h.r.1444,101,hr,hr1444,tariff,bill
101_h.r.1445,101,hr,hr1445,tariff,bill
101_h.r.1446,101,hr,hr1446,tariff,bill
101_h.r.1447,101,hr,hr1447,tariff,bill
101_h.r.1461,101,hr,hr1461,tariff,bill
101_h.r.1463,101,hr,hr1463,foreign entities,bill
101_h.r.1465,101,hr,hr1465,foreign entities,bill
101_h.r.1475,101,hr,hr1475,human rights,bill
101_h.r.1482,101,hr,hr1482,tariff,bill
101_h.r.1483,101,hr,hr1483,tariff,bill
101_h.r.1487,101,hr,hr1487,china|chinese|people's republic of china|hong kong|taiwan|tibet|human rights|panama canal,bill
101_h.r.1515,101,hr,hr1515,tariff,bill
101_h.r.1537,101,hr,hr1537,tariff,bill
101_h.r.1567,101,hr,hr1567,foreign entities,bill
101_h.r.1571,101,hr,hr1571,tariff,bill
101_h.r.1572,101,hr,hr1572,tariff,bill
101_h.r.1578,101,hr,hr1578,tariff,bill
101_h.r.1594,101,hr,hr1594,human rights|tariff,bill
101_h.r.1596,101,hr,hr1596,tariff,bill
101_h.r.1616,101,hr,hr1616,human rights,bill
101_h.r.1639,101,hr,hr1639,tariff,bill
101_h.r.1640,101,hr,hr1640,tariff,bill
101_h.r.1657,101,hr,hr1657,tariff,bill
101_h.r.1659,101,hr,hr1659,tariff,bill
101_h.r.1662,101,hr,hr1662,human rights,bill
101_h.r.1680,101,hr,hr1680,tariff,bill
101_h.r.1681,101,hr,hr1681,tariff,bill
101_h.r.1683,101,hr,hr1683,tariff,bill
101_h.r.1694,101,hr,hr1694,tariff,bill
101_h.r.1695,101,hr,hr1695,tariff,bill
101_h.r.1696,101,hr,hr1696,tariff,bill
101_h.r.1697,101,hr,hr1697,tariff,bill
101_h.r.1698,101,hr,hr1698,tariff,bill
101_h.r.1700,101,hr,hr1700,tariff,bill
101_h.r.1715,101,hr,hr1715,tariff,bill
101_h.r.1716,101,hr,hr1716,tariff,bill
101_h.r.1717,101,hr,hr1717,tariff,bill
101_h.r.1718,101,hr,hr1718,tariff,bill
101_h.r.1719,101,hr,hr1719,tariff,bill
101_h.r.1724,101,hr,hr1724,tariff,bill
101_h.r.1726,101,hr,hr1726,tariff,bill
101_h.r.1728,101,hr,hr1728,tariff,bill
101_h.r.1738,101,hr,hr1738,tariff,bill
101_h.r.1739,101,hr,hr1739,tariff,bill
101_h.r.1740,101,hr,hr1740,tariff,bill
101_h.r.1748,101,hr,hr1748,taiwan,bill
101_h.r.1749,101,hr,hr1749,tariff,bill
101_h.r.1750,101,hr,hr1750,human rights,bill
101_h.r.1751,101,hr,hr1751,tariff,bill
101_h.r.1759,101,hr,hr1759,china|people's republic of china|tibet|human rights,bill
101_h.r.1760,101,hr,hr1760,tariff,bill
