legislation_id,congress,legislation_type,legislation_number,matched_keywords,category
119_h.amdt.11,119,hamdt,hamdt11,chinese|foreign entity,amendment
119_h.amdt.15,119,hamdt,hamdt15,human rights,amendment
119_h.amdt.53,119,hamdt,hamdt53,taiwan,amendment
119_h.amdt.62,119,hamdt,hamdt62,china|people's republic of china|taiwan,amendment
119_h.amdt.95,119,hamdt,hamdt95,taiwan,amendment
119_h.amdt.120,119,hamdt,hamdt120,foreign entities,amendment
119_h.con.res.8,119,hconres,hconres8,china|taiwan,concurrent_res
119_h.con.res.25,119,hconres,hconres25,tariff,concurrent_res
119_h.con.res.62,119,hconres,hconres62,human rights,concurrent_res
119_h.con.res.65,119,hconres,hconres65,human rights,concurrent_res
119_h.r.1,119,hr,hr1,taiwan|indo-pacific|foreign entities,bill
119_h.r.4,119,hr,hr4,human rights,bill
119_h.r.33,119,hr,hr33,taiwan,bill
119_h.r.36,119,hr,hr36,china|chinese|chinese communist party|human rights,bill
119_h.r.40,119,hr,hr40,human rights,bill
119_h.r.116,119,hr,hr116,human rights,bill
119_h.r.243,119,hr,hr243,human rights,bill
119_h.r.252,119,hr,hr252,china,bill
119_h.r.254,119,hr,hr254,chinese|foreign entities,bill
119_h.r.256,119,hr,hr256,china,bill
119_h.r.283,119,hr,hr283,panama canal,bill
119_h.r.322,119,hr,hr322,tariff,bill
119_h.r.328,119,hr,hr328,human rights,bill
119_h.r.385,119,hr,hr385,human rights,bill
119_h.r.386,119,hr,hr386,china|chinese,bill
119_h.r.390,119,hr,hr390,china|foreign entities,bill
119_h.r.391,119,hr,hr391,foreign adversary,bill
119_h.r.400,119,hr,hr400,human rights,bill
119_h.r.407,119,hr,hr407,tariff,bill
119_h.r.455,119,hr,hr455,china|chinese|chinese communist party,bill
119_h.r.458,119,hr,hr458,foreign adversaries,bill
119_h.r.460,119,hr,hr460,china|chinese|people's republic of china|chinese communist party|ccp,bill
119_h.r.477,119,hr,hr477,china|foreign entities,bill
119_h.r.508,119,hr,hr508,china|tariff,bill
