Congress,Chamber,Bill #,Title,Link,Label,Notes,con_legis_num
115,Senate,S. 2872,"A bill to amend the Congressional Accountability Act of 1995 to reform the procedures provided under such Act for the initiation, investigation, and resolution of claims alleging that employing offices of the legislative branch have violated the rights and protections provided to their employees under such Act, including protections against sexual harassment and discrimination, and for other purposes.",https://www.congress.gov/bill/115th-congress/senate-bill/2872,No,,115_s.2872
119,Senate,S. 732,"A bill to amend the Defense Production Act of 1950 with respect to foreign investments in United States agriculture, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/732,Yes,,119_s.732
119,House,H.R. 116,"To close loopholes in the immigration laws that serve as incentives to aliens to attempt to enter the United States unlawfully, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/116,No,,119_h.r.116
119,House,H.R. 3575,"To amend the Trade Act of 1974 to authorize the United States Trade Representative to impose remedial measures with respect to certain entities that evade or may attempt to evade duties imposed with respect to nonmarket economy countries, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/3575,No,,119_h.r.3575
119,Senate,S. 1867,"A bill to provide for phase-out of de minimis treatment under the Tariff Act of 1930, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/1867,Yes,,119_s.1867
119,House,H.R. 1531,"To direct certain financial regulators to exclude representatives of the People's Republic of China from certain banking organizations upon notice of certain threats or danger, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1531,Yes,,119_h.r.1531
110,House,H.R. 744,"To enhance congressional oversight of Operation Iraqi Freedom by requiring the President to transmit periodically to Congress a consolidated, comprehensive report to detail the terms of completion for Operation Iraqi Freedom and by requiring the President to seek to enter into a multilateral agreement to help provide for the completion of Operation Iraqi Freedom.",https://www.congress.gov/bill/110th-congress/house-bill/744,No,,110_h.r.744
119,House,H.R. 3028,To amend the Harmonized Tariff Schedule of the United States to provide a uniform 8-digit subheading number for all whiskies.,https://www.congress.gov/bill/119th-congress/house-bill/3028,Yes,,119_h.r.3028
119,Senate,S. 2475,A bill to amend the Internal Revenue Code of 1986 to provide rebates to individuals using tariff proceeds.,https://www.congress.gov/bill/119th-congress/senate-bill/2475,No,,119_s.2475
119,House,H.R. 1548,"To amend the Tariff Act of 1930 to improve the administration of antidumping and countervailing duty laws, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1548,No,,119_h.r.1548
