Congress,Chamber,Bill #,Title,Link,Label,Notes,con_legis_num
112,House,H.R. 4796,To extend the temporary suspension of duty on electromechanical ice shavers.,https://www.congress.gov/bill/112th-congress/house-bill/4796,No,,112_h.r.4796
119,Senate,S. 974,"A bill to direct the Secretary of the State to seek to enter into negotiations with the Taipei Economic and Cultural Representative Office to rename its office the ""Taiwan Representative Office"", and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/974,No,,119_s.974
116,Senate,S. 4018,"A bill to strengthen the Mutual Defense Treaty between the United States and the Republic of Korea, and for other purposes.",https://www.congress.gov/bill/116th-congress/senate-bill/4018,No,,116_s.4018
119,House,H.R. 1575,"To prohibit certain businesses and persons from purchasing real estate adjacent to covered Federal lands in the United States, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1575,Yes,,119_h.r.1575
119,House,H.R. 5626,"To provide expanded cooperation by the National Aeronautics and Space Administration and the National Oceanic and Atmospheric Administration with Taiwan, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/5626,No,,119_h.r.5626
119,House,H.R. 2246,"To protect the national security of the United States by imposing sanctions with respect to certain persons of the People's Republic of China and prohibiting and requiring notifications with respect to certain investments by United States persons in the People's Republic of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2246,Yes,,119_h.r.2246
119,Senate,S. 1625,"A bill to establish in the Department of Homeland Security a working group relating to countering terrorist, cybersecurity, border and port security, and transportation security threats posed to the United States by the Chinese Communist Party, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/1625,Yes,,119_s.1625
119,Senate,S.Res. 409,A resolution recognizing the 74th anniversary of the signing of the Mutual Defense Treaty between the United States and the Philippines and the strong bilateral security alliance between our two nations in the wake of escalating aggression and political lawfare by the People's Republic of China in the South China Sea.,https://www.congress.gov/bill/119th-congress/senate-resolution/409,Yes,,119_s.res.409
119,House,H.R. 6318,"To prohibit price gouging with respect to goods subject to a tariff, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/6318,No,,119_h.r.6318
109,Senate,S. 3311,A bill to suspend temporarily the duty on certain electrical transformers.,https://www.congress.gov/bill/109th-congress/senate-bill/3311,No,,109_s.3311
102,Senate,S. 2648,"A bill to suspend temporarily the duty on 3,7,11,15, tetramethyl-1-hexadecen-3-01.",https://www.congress.gov/bill/102nd-congress/senate-bill/2648,No,,102_s.2648
109,House,H.Res. 545,Expressing the sense of the House of Representatives on the arrest of Sanjar Umarov in Uzbekistan.,https://www.congress.gov/bill/109th-congress/house-resolution/545,No,,109_h.res.545
119,House,H.R. 4427,"To review banking restrictions, strengthen anti-money laundering capacity, and update sanctions with respect to the Government of Syria, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/4427,No,,119_h.r.4427
119,Senate,S. 2861,A bill to direct the United States Trade Representative to prioritize North American alignment on foreign investment review during the next joint review conducted under the United States-Mexico-Canada Agreement.,https://www.congress.gov/bill/119th-congress/senate-bill/2861,No,,119_s.2861
119,House,H.R. 2503,"To require the development of a strategy to eliminate the availability to foreign adversaries of goods and technologies capable of supporting undersea cables, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2503,Yes,,119_h.r.2503
119,Senate,S. 1886,"A bill to amend the Trade Act of 1974 to authorize the United States Trade Representative to impose remedial measures with respect to certain entities that evade or may attempt to evade duties imposed with respect to nonmarket economy countries, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/1886,No,,119_s.1886
119,House,H.R. 1512,To amend the Taiwan Assurance Act of 2020 to require periodic reviews and updated reports relating to the Department of State's Taiwan Guidelines.,https://www.congress.gov/bill/119th-congress/house-bill/1512,No,,119_h.r.1512
119,Senate,S. 3320,A bill to prohibit the procurement of solar panels manufactured or assembled in the People's Republic of China.,https://www.congress.gov/bill/119th-congress/senate-bill/3320,Yes,,119_s.3320
119,Senate,S. 1711,"A bill to address national security risks and prohibit the use of Federal funds for the procurement of certain vehicles and vehicle technologies produced or provided by entities based in certain countries, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/1711,Yes,,119_s.1711
119,House,H.R. 2806,"To prohibit the Secretary of Energy from sending petroleum products from the Strategic Petroleum Reserve to China, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2806,Yes,,119_h.r.2806
119,House,H.R. 809,"To direct the President to take such actions as may be necessary to prohibit the purchase of public or private real estate located in the United States by members of the Chinese Communist Party and entities that are under the ownership, control, or influence of the Chinese Communist Party.",https://www.congress.gov/bill/119th-congress/house-bill/809,Yes,,119_h.r.809
119,House,H.R. 5450,"Making continuing appropriations for the fiscal year ending September 30, 2026, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/5450,No,,119_h.r.5450
119,Senate,S. 732,"A bill to amend the Defense Production Act of 1950 with respect to foreign investments in United States agriculture, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/732,No,,119_s.732
119,Senate,S. 3036,A bill to prohibit the Secretary of the Treasury from engaging in transactions involving the exchange of Special Drawing Rights issued by the International Monetary Fund that are held by the Chinese Community Party.,https://www.congress.gov/bill/119th-congress/senate-bill/3036,Yes,,119_s.3036
112,Senate,S. 3269,A bill to provide that no United States assistance may be provided to Pakistan until Dr. Shakil Afridi is freed.,https://www.congress.gov/bill/112th-congress/senate-bill/3269,No,,112_s.3269
115,Senate,S. 2872,"A bill to amend the Congressional Accountability Act of 1995 to reform the procedures provided under such Act for the initiation, investigation, and resolution of claims alleging that employing offices of the legislative branch have violated the rights and protections provided to their employees under such Act, including protections against sexual harassment and discrimination, and for other purposes.",https://www.congress.gov/bill/115th-congress/senate-bill/2872,No,,115_s.2872
101,Senate,S. 2581,"A bill to assist the East European countries to establish societies based on democratic institutions, a commitment to human rights, and free market principles.",https://www.congress.gov/bill/101st-congress/senate-bill/2581,No,,101_s.2581
119,House,H.R. 1069,To prohibit the availability of Federal education funds for elementary and secondary schools that receive direct or indirect support from the Government of the Peopleâ€™s Republic of China.,https://www.congress.gov/bill/119th-congress/house-bill/1069,Yes,,119_h.r.1069
119,Senate,S.Res. 353,A resolution requesting information on the Republic of Costa Rica's human rights practices pursuant to section 502B(c) of the Foreign Assistance Act of 1961.,https://www.congress.gov/bill/119th-congress/senate-resolution/353,No,,119_s.res.353
119,House,H.R. 1654,"To rescind unobligated COVID-19 relief funds and certain infrastructure funds to offset the cost of the supplemental foreign assistance made available for fiscal year 2024, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1654,No,,119_h.r.1654
119,House,H.R. 328,"To immediately halt investment by United States persons in the energy sector of Venezuela until the legitimate results of the July 28, 2024, election are respected.",https://www.congress.gov/bill/119th-congress/house-bill/328,No,,119_h.r.328
119,Senate,S. 1339,A bill to require a determination and report relating to money laundering and violations of export controls and sanctions in Hong Kong.,https://www.congress.gov/bill/119th-congress/senate-bill/1339,Yes,,119_s.1339
112,House,H.R. 5692,To extend the suspension of duty on Interam mats.,https://www.congress.gov/bill/112th-congress/house-bill/5692,No,,112_h.r.5692
119,Senate,S. 288,"A bill to support and promote human rights of Southern Mongolians in the People's Republic of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/288,Yes,,119_s.288
119,House,H.R. 6500,"To extend duty-free treatment provided with respect to imports from certain countries in Africa under the African Growth and Opportunity Act, to extend customs user fees, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/6500,No,,119_h.r.6500
111,House,H.R. 1980,"To continue restrictions against and prohibit diplomatic recognition of the Government of North Korea, and for other purposes.",https://www.congress.gov/bill/111th-congress/house-bill/1980,No,,111_h.r.1980
103,House,H.R. 3475,To prohibit all United States military and economic assistance for Turkey until the Turkish Government takes certain actions to resolve the Cyprus problem and complies with its obligation under international law.,https://www.congress.gov/bill/103rd-congress/house-bill/3475,No,,103_h.r.3475
119,Senate,S.Res. 567,A resolution expressing that any attempt by foreign entities to censor or penalize constitutionally protected speech of United States persons shall be opposed.,https://www.congress.gov/bill/119th-congress/senate-resolution/567,No,,119_s.res.567
110,House,H.R. 5209,"To suspend temporarily the duty on Pressure Hose with red jacket, 42 millimeters outside diameter x 32 millimeters inside diameter.",https://www.congress.gov/bill/110th-congress/house-bill/5209,No,,110_h.r.5209
119,House,H.R. 2022,To provide for the reliquidation of certain entries of golf cart tires.,https://www.congress.gov/bill/119th-congress/house-bill/2022,No,,119_h.r.2022
119,House,H.R. 2635,"To support the human rights of Uyghurs and members of other minority groups residing primarily in the Xinjiang Uyghur Autonomous Region and safeguard their distinct identity, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2635,Yes,,119_h.r.2635
119,House,H.R. 1318,"To amend the Research and Development, Competition, and Innovation Act to clarify the definition of foreign country for purposes of malign foreign talent recruitment restriction, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1318,No,,119_h.r.1318
119,Senate,S. 3056,"A bill to state the policy of the United States with respect to religious freedom in the People's Republic of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/3056,Yes,,119_s.3056
116,House,H.R. 3230,To combat the spread of disinformation through restrictions on deep-fake video alteration technology.,https://www.congress.gov/bill/116th-congress/house-bill/3230,No,,116_h.r.3230
119,House,H.R. 4802,"To prohibit the Secretary of Transportation from entering into, extending, or renewing a contract with, or awarding a grant to, an entity that uses or procures light detection and ranging technology from certain foreign entities, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/4802,No,"Doesn't specifically mention china, but I assume they fall under ""foreign entities""",119_h.r.4802
119,Senate,S.Res. 351,A resolution requesting information on the Kingdom of Eswatini's human rights practices pursuant to section 502B(c) of the Foreign Assistance Act of 1961.,https://www.congress.gov/bill/119th-congress/senate-resolution/351,No,,119_s.res.351
119,Senate,S. 199,A bill to amend the Internal Revenue Code of 1986 to provide special rules for the taxation of certain residents of Taiwan with income from sources within the United States.,https://www.congress.gov/bill/119th-congress/senate-bill/199,Yes,,119_s.199
119,Senate,S. 151,A bill to exclude the authority to impose duties and tariff-rate quotas from the International Emergency Economic Powers Act.,https://www.congress.gov/bill/119th-congress/senate-bill/151,No,,119_s.151
119,House,H.Res. 110,"Prohibiting the distribution of Chinese Communist Party-controlled publications within House facilities, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-resolution/110,Yes,,119_h.res.110
119,Senate,S. 3416,A bill to prohibit public comments from governments and individuals designated as foreign adversaries.,https://www.congress.gov/bill/119th-congress/senate-bill/3416,No,Same with bill H.R. 4802,119_s.3416
119,House,H.R. 1701,"To require the Secretary of Defense and the Secretary of State to monitor efforts by the People's Republic of China to build or buy strategic foreign ports, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1701,Yes,,119_h.r.1701
119,Senate,S. 2354,"An original bill making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2026, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/2354,Yes,,119_s.2354
119,House,H.R. 3028,To amend the Harmonized Tariff Schedule of the United States to provide a uniform 8-digit subheading number for all whiskies.,https://www.congress.gov/bill/119th-congress/house-bill/3028,No,,119_h.r.3028
102,House,H.R. 1519,To suspend temporarily the duty on octadecyl isocyanate.,https://www.congress.gov/bill/102nd-congress/house-bill/1519,No,,102_h.r.1519
119,House,H.Res. 106,Expressing the sense of the House of Representatives that the United Nations Security Council should immediately impose an arms embargo against the military of Burma.,https://www.congress.gov/bill/119th-congress/house-resolution/106,No,,119_h.res.106
119,House,H.R. 1948,"To authorize the International Boundary and Water Commission to accept funds for activities relating to wastewater treatment and flood control works, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1948,Yes,,119_h.r.1948
119,Senate,S. 947,A bill to prohibit importation of commercially produced fresh citrus fruit originating from the People's Republic of China.,https://www.congress.gov/bill/119th-congress/senate-bill/947,Yes,,119_s.947
