Congress,Chamber,Bill #,Title,Link,Label,Notes,con_legis_num
119,House,H.R. 2449,"To direct the Federal Communications Commission to establish a task force to be known as the ""6G Task Force"", and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2449,No,,119_h.r.2449
119,House,H.R. 3982,"To establish a Tariff Response and Damages to Exports fund, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/3982,No,,119_h.r.3982
119,House,H.R. 2559,"To support Taiwan's international space, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2559,Yes,,119_h.r.2559
119,House,H.R. 5838,"To state the policy of the United States with respect to religious freedom in the People's Republic of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/5838,Yes,,119_h.r.5838
119,Senate,S.J.Res. 101,A joint resolution providing for congressional disapproval of the proposed foreign military sales to Taiwan of certain defense articles and services.,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/101,Yes,,119_s.j.res.101
119,House,H.R. 1625,"To extend duty-free treatment provided with respect to imports from Haiti under the Caribbean Basin Economic Recovery Act, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1625,No,,119_h.r.1625
119,House,H.R. 509,To decrease dependency on People's Republic of China manufacturing and decrease migration due to lost regional economic opportunities.,https://www.congress.gov/bill/119th-congress/house-bill/509,Yes,,119_h.r.509
119,House,H.R. 2310,To ensure that goods made using or containing cobalt refined in the People's Republic of China do not enter the United States market under the presumption that the cobalt is extracted or processed with the use of child and forced labor in the Democratic Republic of the Congo.,https://www.congress.gov/bill/119th-congress/house-bill/2310,Yes,,119_h.r.2310
119,Senate,S.Res. 31,A resolution calling on the Government of Panama to expel officials and interests of the People's Republic of China and terminate Chinese management of key Panamanian ports.,https://www.congress.gov/bill/119th-congress/senate-resolution/31,Yes,,119_s.res.31
112,Senate,S. 2762,A bill to extend and modify the temporary suspension of duty on mixtures of tris(4-isocyanatophenyl)thiophosphate.,https://www.congress.gov/bill/112th-congress/senate-bill/2762,No,,112_s.2762
112,Senate,S. 3269,A bill to provide that no United States assistance may be provided to Pakistan until Dr. Shakil Afridi is freed.,https://www.congress.gov/bill/112th-congress/senate-bill/3269,No,,112_s.3269
119,House,H.R. 6770,To direct the Commander of the United States Cyber Command to submit to Congress a report regarding recommended actions in cyberspace to defend the United States against transnational organized crime networks linked to the Chinese Communist Party that operate digital scams.,https://www.congress.gov/bill/119th-congress/house-bill/6770,Yes,,119_h.r.6770
119,House,H.R. 3225,To reauthorize and modify the Belarus Democracy Act of 2004.,https://www.congress.gov/bill/119th-congress/house-bill/3225,No,,119_h.r.3225
119,House,H.Res. 130,Expressing the sense of the House of Representatives in condemning the Government of the People's Republic of China for its harassment and efforts to intimidate American citizens and other individuals on United States soil with the goal of suppressing speech and narratives the People's Republic of China finds unwelcome.,https://www.congress.gov/bill/119th-congress/house-resolution/130,Yes,,119_h.res.130
119,House,H.R. 386,"To require the United States Governor of, and the United States Executive Director at, the International Monetary Fund to oppose an increase in the weight of the Chinese renminbi in the Special Drawing Rights basket of the Fund, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/386,Yes,,119_h.r.386
119,House,H.R. 4519,"To prohibit the District of Columbia government from entering into Sister City relationships with jurisdictions located in foreign adversary countries, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/4519,No,,119_h.r.4519
119,Senate,S. 2354,"An original bill making appropriations for the Departments of Commerce and Justice, Science, and Related Agencies for the fiscal year ending September 30, 2026, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/2354,No,,119_s.2354
119,Senate,S. 259,"A bill to direct the Federal Communications Commission to publish a list of entities that hold authorizations, licenses, or other grants of authority issued by the Commission and that have certain foreign ownership, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/259,Yes,,119_s.259
119,House,H.Res. 916,"Providing for consideration of the bill (H.R. 4312) to protect the name, image, and likeness rights of student athletes and to promote fair competition with respect to intercollegiate athletics, and for other purposes; providing for consideration of the bill (H.R. 1005) to prohibit elementary and secondary schools from accepting funds from or entering into contracts with the Government of the Peopleâ€™s Republic of China and the Chinese Communist Party, and for other purposes; providing for consideration of the bill (H.R. 1049) to ensure that parents are aware of foreign influence in their childâ€™s public school, and for other purposes; providing for consideration of the bill (H.R. 1069) to prohibit the availability of Federal education funds for elementary and secondary schools that receive direct or indirect support from the Government of the Peopleâ€™s Republic of China; providing for consideration of the bill (H.R. 2965) to require the Administrator of the Small Business Administration to ensure that the small business regulatory budget for a small business concern in a fiscal year is not greater than zero, and for other purposes; and providing for consideration of the bill (H.R. 4305) to direct the Chief Counsel for Advocacy of the Small Business Administration to establish a Red Tape Hotline to receive notifications of burdensome agency rules, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-resolution/916,Yes,,119_h.res.916
119,House,H.R. 4706,"To prohibit the acquisition and ownership of agricultural land and residential real property by certain foreign entities, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/4706,Yes,,119_h.r.4706
119,Senate,S. 959,"A bill to require the United States International Trade Commission to conduct an investigation and submit a report on the impact on businesses in the United States of duties, and the threat of duties, on imports from Mexico and Canada, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/959,No,,119_s.959
