Congress,Chamber,Bill #,Title,Link,Label,Notes,con_legis_num
117,Senate,S.Res. 538,A resolution expressing support for a second United States-Africa Leaders Summit as an important opportunity to strengthen ties between the United States and African partners and build on areas of mutual interest.,https://www.congress.gov/bill/117th-congress/senate-resolution/538,No,,117_s.res.538
119,House,H.Res. 561,"Honoring the life and legacy of Father Stan, a prominent human rights activist who died while in custody of the Indian State on July 5, 2021, and encouraging India to pursue an independent investigation into his arrest, incarceration, and death.",https://www.congress.gov/bill/119th-congress/house-resolution/561,No,,119_h.res.561
119,House,H.R. 1724,To prohibit the use of funds supporting any activities within the Xinjiang Uyghur Autonomous Region of the People's Republic of China.,https://www.congress.gov/bill/119th-congress/house-bill/1724,Yes,,119_h.r.1724
119,House,H.R. 3838,"To authorize appropriations for fiscal year 2026 for military activities of the Department of Defense, for military construction, and for defense activities of the Department of Energy, to prescribe military personnel strengths for such fiscal year, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/3838,No,,119_h.r.3838
111,House,H.Res. 1266,Recognizing the 60th anniversary of the outbreak of the Korean War.,https://www.congress.gov/bill/111th-congress/house-resolution/1266,No,,111_h.res.1266
115,Senate,S.Res. 386,"A resolution urging the Government of the Democratic Republic of the Congo to fulfill its agreement to hold credible elections, comply with constitutional limits on presidential terms, and fulfill its constitutional mandate for a democratic transition of power by taking concrete and measurable steps towards holding elections not later than December 2018 as outlined in the existing election calendar, and allowing for freedom of expression and association.",https://www.congress.gov/bill/115th-congress/senate-resolution/386,No,,115_s.res.386
113,House,H.R. 3355,"To increase the competitiveness of American manufacturing by reducing regulatory and other burdens, encouraging greater innovation and investment, and developing a stronger workforce for the twenty-first century, and for other purposes.",https://www.congress.gov/bill/113th-congress/house-bill/3355,No,,113_h.r.3355
119,House,H.R. 1743,"To provide the President with authority to enter into a comprehensive trade agreement with the United Kingdom, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1743,No,,119_h.r.1743
119,Senate,S.Res. 523,"A resolution expressing the opposition of the Senate to the Chinese Communist Party's ""stolen valor"" historical revisionism with regard to Allied Victory in Asia, commemorating the contributions made by the Republic of China to Allied Victory, and acknowledging the postwar contributions of the Government of Japan to peace and stability in Asia.",https://www.congress.gov/bill/119th-congress/senate-resolution/523,Yes,,119_s.res.523
119,House,H.Res. 971,Condemning the coercive actions of the People's Republic of China against Japan in response to statements regarding Taiwan and reaffirming the United States commitment to its allies in the Indo-Pacific region.,https://www.congress.gov/bill/119th-congress/house-resolution/971,Yes,,119_h.res.971
101,House,H.R. 4305,"To extend until January 1, 1994, the existing temporary suspension of duty on 3-Ethylamino-p-cresol.",https://www.congress.gov/bill/101st-congress/house-bill/4305,No,,101_h.r.4305
119,Senate,S. 3153,A bill to require inclusion on the list of Chinese military companies operating in the United States of Chinese entities on certain other lists maintained by the United States Government.,https://www.congress.gov/bill/119th-congress/senate-bill/3153,No,,119_s.3153
110,House,H.R. 4730,To extend the temporary suspension of duty on trifloxysulfuron-sodium technical.,https://www.congress.gov/bill/110th-congress/house-bill/4730,No,,110_h.r.4730
119,House,H.R. 3122,"To advance United States national interests by prioritizing the protection of internationally recognized human rights and development of the rule of law in relations between the United States and Vietnam, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/3122,No,,119_h.r.3122
119,House,H.R. 1995,"To direct the Secretary of Agriculture to publish, on an annual basis, an assessment on United States dependency on critical agricultural products or inputs from the People's Republic of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1995,No,,119_h.r.1995
119,Senate,S. 3451,"A bill to authorize the imposition of sanctions with respect to the Houthis, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/3451,No,,119_s.3451
119,Senate,S. 3555,A bill to protect the national security of the United States by imposing sanctions with respect to certain persons of the People's Republic of China and prohibiting and requiring notifications with respect to certain investments by United States persons in countries of concern.,https://www.congress.gov/bill/119th-congress/senate-bill/3555,No,,119_s.3555
119,House,H.R. 960,To amend chapter 62 of the Harmonized Tariff Schedule of the United States to modify the requirements for a garment to be considered water resistant.,https://www.congress.gov/bill/119th-congress/house-bill/960,No,,119_h.r.960
119,Senate,S. 823,"A bill to create intergovernmental coordination between State, local, Tribal, and territorial jurisdictions, and the Federal Government to combat United States reliance on the People's Republic of China and other covered countries for critical minerals and rare earth metals, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/823,Yes,"Mentions China specifically, but also says it is for other countries too",119_s.823
119,Senate,S. 2722,"A bill to promote the energy security of Taiwan, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/2722,Yes,,119_s.2722
119,Senate,S. 1012,"A bill to increase oversight of foreign direct investment in agricultural land in the United States, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/1012,No,,119_s.1012
105,Senate,S. 1833,"A bill to suspend temporarily the duty on 1-(4-methoxy-6-methyl-triazin-2-yl)-3-(2-(3,3,3-trifluoropropyl)-phenylsulfonyl)-urea.",https://www.congress.gov/bill/105th-congress/senate-bill/1833,No,,105_s.1833
119,House,H.R. 2653,To amend the Tariff Act of 1930 to require the public disclosure of certain vehicle and aircraft manifest information.,https://www.congress.gov/bill/119th-congress/house-bill/2653,No,,119_h.r.2653
119,Senate,S. 3390,"A bill to require a report on the purchases of Iranian oil by the People's Republic of China, support from entities and individuals in the People's Republic of China for Iran's ballistic missile program, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/3390,Yes,,119_s.3390
119,House,H.R. 3197,"To amend the Financial Stability Act of 2010 to establish an Advisory Committee on Economic Fallout From Chinese Military Aggression Towards Taiwan, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/3197,Yes,,119_h.r.3197
116,Senate,S. 4018,"A bill to strengthen the Mutual Defense Treaty between the United States and the Republic of Korea, and for other purposes.",https://www.congress.gov/bill/116th-congress/senate-bill/4018,No,,116_s.4018
106,House,H.R. 901,"To amend the Support for East European Democracy (SEED) Act of 1989 to provide for the transfer of amounts of the Polish-American Enterprise Fund upon the termination of that Enterprise Fund to a private, nonprofit organization located in Poland.",https://www.congress.gov/bill/106th-congress/house-bill/901,No,,106_h.r.901
115,Senate,S. 1780,"An original bill making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2018, and for other purposes.",https://www.congress.gov/bill/115th-congress/senate-bill/1780,No,,115_s.1780
109,House,H.R. 2836,To extend the duty suspension on Allyl isosulfocynate.,https://www.congress.gov/bill/109th-congress/house-bill/2836,No,,109_h.r.2836
101,Senate,S. 1715,A bill to temporarily suspend the duty on ioxaglate.,https://www.congress.gov/bill/101st-congress/senate-bill/1715,No,,101_s.1715
119,House,H.Res. 916,"Providing for consideration of the bill (H.R. 4312) to protect the name, image, and likeness rights of student athletes and to promote fair competition with respect to intercollegiate athletics, and for other purposes; providing for consideration of the bill (H.R. 1005) to prohibit elementary and secondary schools from accepting funds from or entering into contracts with the Government of the Peopleâ€™s Republic of China and the Chinese Communist Party, and for other purposes; providing for consideration of the bill (H.R. 1049) to ensure that parents are aware of foreign influence in their childâ€™s public school, and for other purposes; providing for consideration of the bill (H.R. 1069) to prohibit the availability of Federal education funds for elementary and secondary schools that receive direct or indirect support from the Government of the Peopleâ€™s Republic of China; providing for consideration of the bill (H.R. 2965) to require the Administrator of the Small Business Administration to ensure that the small business regulatory budget for a small business concern in a fiscal year is not greater than zero, and for other purposes; and providing for consideration of the bill (H.R. 4305) to direct the Chief Counsel for Advocacy of the Small Business Administration to establish a Red Tape Hotline to receive notifications of burdensome agency rules, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-resolution/916,Yes,,119_h.res.916
119,House,H.R. 2310,To ensure that goods made using or containing cobalt refined in the People's Republic of China do not enter the United States market under the presumption that the cobalt is extracted or processed with the use of child and forced labor in the Democratic Republic of the Congo.,https://www.congress.gov/bill/119th-congress/house-bill/2310,Yes,,119_h.r.2310
119,House,H.R. 2114,"To amend titles XVIII and XIX of the Social Security Act, title XXVII of the Public Health Service Act, and the National Organ Transplant Act to prohibit certain organ transplants with specified connections to the People's Republic of China.",https://www.congress.gov/bill/119th-congress/house-bill/2114,No,,119_h.r.2114
119,House,H.R. 7075,To require the Secretary of the Treasury to include any entity identified as a Chinese military company on the Non-SDN Chinese Military-Industrial Complex Companies List.,https://www.congress.gov/bill/119th-congress/house-bill/7075,Yes,,119_h.r.7075
114,Senate,S. 3469,A bill to reinstate reporting requirements related to United States-Hong Kong relations.,https://www.congress.gov/bill/114th-congress/senate-bill/3469,Yes,,114_s.3469
119,House,H.R. 4519,"To prohibit the District of Columbia government from entering into Sister City relationships with jurisdictions located in foreign adversary countries, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/4519,No,,119_h.r.4519
119,House,H.R. 1468,"To establish the CCP Initiative program, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1468,Yes,,119_h.r.1468
119,House,H.R. 620,"To amend the Defense Production Act of 1950 to prevent harm and disruption to the United States agriculture industry by protecting against foreign influence over agriculture production and supply chains, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/620,No,,119_h.r.620
119,House,H.R. 5838,"To state the policy of the United States with respect to religious freedom in the People's Republic of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/5838,Yes,,119_h.r.5838
119,House,H.Res. 930,"Commemorating the 78th birthday of Jimmy Lai on December 8, 2025, as ""Jimmy Lai Day"", for his role in advocating for free press, religious freedom, and democracy in Hong Kong, and calling on the People's Republic of China and Hong Kong authorities to release Jimmy Lai and all other Hong Kong prodemocracy advocates from prison.",https://www.congress.gov/bill/119th-congress/house-resolution/930,Yes,,119_h.res.930
108,House,H.R. 2644,To suspend temporarily the duty on Procion Navy H-EXL.,https://www.congress.gov/bill/108th-congress/house-bill/2644,No,,108_h.r.2644
119,House,H.R. 1679,"To direct the Secretary of Commerce, in coordination with the heads of other relevant Federal departments and agencies, to conduct an interagency review of and report to Congress on ways to increase the global competitiveness of the United States in attracting foreign direct investment.",https://www.congress.gov/bill/119th-congress/house-bill/1679,No,,119_h.r.1679
119,House,H.R. 4812,"To direct the Secretary of the Air Force to incorporate certain elements regarding depot-level maintenance coordination in at least one multinational exercise conducted in the area of operations of the United States Indo-Pacific Command, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/4812,No,,119_h.r.4812
119,Senate,S.Res. 283,"A resolution commemorating the 90th birthday of His Holiness the 14th Dalai Lama on July 6, 2025, as ""A Day of Compassion"" and expressing support for the human rights and distinct religious, cultural, linguistic, and historical identity of the Tibetan people.",https://www.congress.gov/bill/119th-congress/senate-resolution/283,Yes,,119_s.res.283
119,Senate,S. 3301,"A bill to prohibit purchases of certain semiconductor manufacturing equipment from foreign entities of concern or subsidiaries of foreign entities of concern, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/3301,No,,119_s.3301
119,Senate,S. 959,"A bill to require the United States International Trade Commission to conduct an investigation and submit a report on the impact on businesses in the United States of duties, and the threat of duties, on imports from Mexico and Canada, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/959,No,,119_s.959
119,House,H.R. 938,To amend the Higher Education Act of 1965 to restrict contracts with foreign countries of concern and foreign entities of concern.,https://www.congress.gov/bill/119th-congress/house-bill/938,No,,119_h.r.938
119,House,H.R. 2659,"To ensure the security and integrity of United States critical infrastructure by establishing an interagency task force and requiring a comprehensive report on the targeting of United States critical infrastructure by Peopleâ€™s Republic of China state-sponsored cyber actors, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2659,Yes,,119_h.r.2659
119,House,H.R. 3224,"To enhance the operations and accountability of international financial institutions, strengthen support for low-income countries, and promote human rights and environmental standards in global financial projects.",https://www.congress.gov/bill/119th-congress/house-bill/3224,No,,119_h.r.3224
119,Senate,S. 1165,"A bill to require the United States Trade Representative to regularly monitor industrial subsidies provided by the Government of the People's Republic of China and submit a report on the risks posed by those subsidies, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/1165,Yes,,119_s.1165
109,House,H.R. 5918,To amend the Immigration and Nationality Act to protect vulnerable refugees and asylum seekers.,https://www.congress.gov/bill/109th-congress/house-bill/5918,No,,109_h.r.5918
119,House,H.R. 5250,"To provide for the foreign assistance authority of the Department of State, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/5250,No,,119_h.r.5250
