Congress,Chamber,Bill #,Title,Link,Label,Notes,con_legis_num
110,House,H.R. 5198,To suspend temporarily the duty on Cathode high voltage connector.,https://www.congress.gov/bill/110th-congress/house-bill/5198,No,,110_h.r.5198
119,House,H.R. 2619,"To require a report on sanctions under the Robert Levinson Hostage Recovery and Hostage-Taking Accountability Act, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2619,No,,119_h.r.2619
119,Senate,S. 580,"A bill to require the Secretary of Commerce to provide training and guidance relating to human rights abuses, including such abuses perpetrated against the Uyghur population by the Government of the People's Republic of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/580,Yes,,119_s.580
119,House,H.Res. 148,"Expressing the sense of the House of Representatives regarding United Nations General Assembly Resolution 2758 (XXVI) and the harmful conflation of China's ""One China Principle"" and the United States ""One China Policy"".",https://www.congress.gov/bill/119th-congress/house-resolution/148,Yes,,119_h.res.148
119,Senate,S. 1772,"A bill to require the inclusion of the Ministry of Public Security's Institute of Forensic Science of China on the entity list maintained by the Bureau of Industry and Security of the Department of Commerce, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/1772,Yes,,119_s.1772
119,Senate,S. 823,"A bill to create intergovernmental coordination between State, local, Tribal, and territorial jurisdictions, and the Federal Government to combat United States reliance on the People's Republic of China and other covered countries for critical minerals and rare earth metals, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/823,Yes,,119_s.823
117,Senate,S.Res. 538,A resolution expressing support for a second United States-Africa Leaders Summit as an important opportunity to strengthen ties between the United States and African partners and build on areas of mutual interest.,https://www.congress.gov/bill/117th-congress/senate-resolution/538,No,,117_s.res.538
119,House,H.Res. 971,Condemning the coercive actions of the People's Republic of China against Japan in response to statements regarding Taiwan and reaffirming the United States commitment to its allies in the Indo-Pacific region.,https://www.congress.gov/bill/119th-congress/house-resolution/971,Yes,,119_h.res.971
119,House,H.R. 5250,"To provide for the foreign assistance authority of the Department of State, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/5250,No,,119_h.r.5250
119,Senate,S.J.Res. 37,A joint resolution terminating the national emergency declared to impose duties on articles imported from Canada.,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/37,No,,119_s.j.res.37
119,Senate,S. 3655,"A bill to require the President to remove the extension of certain privileges, exemptions, and immunities to the Hong Kong Economic and Trade Offices if Hong Kong no longer enjoys a high degree of autonomy from the People's Republic of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/3655,Yes,,119_s.3655
