Congress,Chamber,Bill #,Title,Link,Label,Notes,con_legis_num
119,House,H.R. 1121,"To prohibit the use of DeepSeek by the executive agencies, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1121,Yes,,119_h.r.1121
119,House,H.R. 2067,"To amend the Employment Retirement Income Security Act of 1974 to prohibit plan investments in foreign adversary and sanctioned entities, require disclosure of existing investments in such entities, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2067,No,,119_h.r.2067
103,House,H.R. 5206,To authorize the reliquidation of certain entries.,https://www.congress.gov/bill/103rd-congress/house-bill/5206,No,,103_h.r.5206
110,House,H.Con.Res. 203,Condemning the persecution of labor rights advocates in Iran.,https://www.congress.gov/bill/110th-congress/house-concurrent-resolution/203,No,,110_h.con.res.203
119,Senate,S.Res. 86,"A resolution expressing the sense of the Senate regarding United Nations General Assembly Resolution 2758 (XXVI) and the harmful conflation of China's ""One China Principle"" and the United States'""One China Policy"".",https://www.congress.gov/bill/119th-congress/senate-resolution/86,Yes,,119_s.res.86
119,House,H.Res. 148,"Expressing the sense of the House of Representatives regarding United Nations General Assembly Resolution 2758 (XXVI) and the harmful conflation of China's ""One China Principle"" and the United States ""One China Policy"".",https://www.congress.gov/bill/119th-congress/house-resolution/148,Yes,,119_h.res.148
103,Senate,S.Res. 209,A resolution to express the sense of the Senate honoring Mikis Theodorakis.,https://www.congress.gov/bill/103rd-congress/senate-resolution/209,No,,103_s.res.209
119,Senate,S.Res. 121,A resolution establishing the Senate Human Rights Commission.,https://www.congress.gov/bill/119th-congress/senate-resolution/121,No,,119_s.res.121
119,Senate,S. 3158,A bill to amend section 1260H of the William M. (Mac) Thornberry National Defense Authorization Act for Fiscal Year 2021 to clarify that the identification of Chinese military companies is not covered by the Administrative Procedure Act.,https://www.congress.gov/bill/119th-congress/senate-bill/3158,No,,119_s.3158
119,Senate,S.Res. 40,A resolution commemorating the 80th anniversary of the liberation of the Auschwitz extermination camp in Nazi-occupied Poland and International Holocaust Remembrance Day.,https://www.congress.gov/bill/119th-congress/senate-resolution/40,No,,119_s.res.40
116,House,H.R. 1383,"To advance United States national interests by prioritizing the protection of internationally recognized human rights and development of the rule of law in relations between the United States and Vietnam, and for other purposes.",https://www.congress.gov/bill/116th-congress/house-bill/1383,No,,116_h.r.1383
119,Senate,S.J.Res. 37,A joint resolution terminating the national emergency declared to impose duties on articles imported from Canada.,https://www.congress.gov/bill/119th-congress/senate-joint-resolution/37,No,,119_s.j.res.37
119,House,H.R. 508,"To allow expensing of amounts paid to move business property from China to the United States, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/508,Yes,"Its more about businesses, but it concerns China in a big way so im not sure, but I was leaning yes.",119_h.r.508
119,House,H.R. 805,To amend section 321 of the Tariff Act of 1930 to modify the administrative exemptions under that Act.,https://www.congress.gov/bill/119th-congress/house-bill/805,Yes,,119_h.r.805
119,House,H.R. 5300,"To guide the foreign policy of the United States, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/5300,No,,119_h.r.5300
119,House,H.R. 2754,"To require the Committee on Foreign Investment in the United States to review any purchase or lease of real estate near a military installation or military airspace in the United States by a foreign person connected to or subsidized by the Russian Federation, the People's Republic of China, the Islamic Republic of Iran, or the Democratic People's Republic of Korea, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2754,No,,119_h.r.2754
112,Senate,S. 15,"A bill to prohibit the regulation of carbon dioxide emissions in the United States until China, India, and Russia implement similar reductions.",https://www.congress.gov/bill/112th-congress/senate-bill/15,No,,112_s.15
119,House,H.R. 600,To prohibit the use of funds to seek membership in the World Health Organization or to provide assessed or voluntary contributions to the World Health Organization.,https://www.congress.gov/bill/119th-congress/house-bill/600,No,,119_h.r.600
119,House,H.R. 1576,"To amend the Defense Production Act of 1950 with respect to foreign investments in United States agriculture, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1576,No,,119_h.r.1576
119,House,H.R. 2464,To repeal section 338 of the Tariff Act of 1930.,https://www.congress.gov/bill/119th-congress/house-bill/2464,No,,119_h.r.2464
119,Senate,S. 1000,A bill to establish an Ambassador-at-Large for Arctic Affairs.,https://www.congress.gov/bill/119th-congress/senate-bill/1000,No,,119_s.1000
119,House,H.R. 2115,To prohibit funding for the Montreal Protocol on Substances that Deplete the Ozone Layer and the United Nations Framework Convention on Climate Change until China is no longer defined as a developing country.,https://www.congress.gov/bill/119th-congress/house-bill/2115,Yes,,119_h.r.2115
119,House,H.R. 6487,"To prohibit the issuance of certain visas to nationals of the People's Republic of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/6487,Yes,,119_h.r.6487
109,Senate,S. 2963,"A bill to suspend temporarily the duty on formulated products containing mixtures of the active ingredient 2-chloro-n-[[(4-methoxy-6-methyl-1,3,5-triazin-2yl)amino]carbonyl] benzenesulfonamide and application adjuvants.",https://www.congress.gov/bill/109th-congress/senate-bill/2963,No,,109_s.2963
119,House,H.R. 2029,"To revise sections 552, 1461, and 1462 of title 18, United States Code, and section 305 of the Tariff Act of 1930 (19 U.S.C. 1305), and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2029,No,,119_h.r.2029
107,House,H.Con.Res. 202,Condemning the Palestinian Authority and various Palestinian organizations for using children as soldiers and inciting children to acts of violence and war.,https://www.congress.gov/bill/107th-congress/house-concurrent-resolution/202,No,,107_h.con.res.202
119,Senate,S. 197,"A bill to require the Committee on Foreign Investment in the United States to review any purchase or lease of real estate near a military installation or military airspace in the United States by a foreign person connected to or subsidized by the Russian Federation, the People's Republic of China, the Islamic Republic of Iran, or the Democratic People's Republic of Korea, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/197,No,,119_s.197
119,Senate,S. 886,"A bill to amend the Agricultural Foreign Investment Disclosure Act of 1978 to strengthen oversight over foreign investment in the United States agricultural industry, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/886,No,,119_s.886
119,House,H.R. 1032,"To prohibit Federal spending on funding research in China, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/1032,Yes,,119_h.r.1032
104,House,H.R. 1056,"To establish the Commonwealth of Guam, and for other purposes.",https://www.congress.gov/bill/104th-congress/house-bill/1056,No,,104_h.r.1056
119,House,H.R. 6792,"To clarify provisions of the United States Mexico-Canada Agreement Implementation Act and Foreign Trade Zones Act with respect to the appropriate tariff treatment of merchandise in a United States foreign-trade zone, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/6792,No,,119_h.r.6792
119,Senate,S. 2180,"A bill to impose sanctions with respect to foreign persons responsible for violations of the human rights of lesbian, gay, bisexual, transgender, queer, and intersex (LGBTQI) individuals, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/2180,No,,119_s.2180
115,Senate,S. 2872,"A bill to amend the Congressional Accountability Act of 1995 to reform the procedures provided under such Act for the initiation, investigation, and resolution of claims alleging that employing offices of the legislative branch have violated the rights and protections provided to their employees under such Act, including protections against sexual harassment and discrimination, and for other purposes.",https://www.congress.gov/bill/115th-congress/senate-bill/2872,No,,115_s.2872
112,House,H.R. 5165,"To suspend temporarily the duty on footwear other than house slippers, for women, valued $9.00/pair or higher.",https://www.congress.gov/bill/112th-congress/house-bill/5165,No,,112_h.r.5165
119,House,H.R. 254,"To prohibit the Director of the National Science Foundation from awarding grants and other forms of assistance to Chinese communist military companies and their affiliates, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/254,Yes,,119_h.r.254
119,House,H.R. 4081,"To amend title 18, United States Code, to establish mandatory minimum penalties for economic and defense espionage when committed on behalf of foreign adversaries.",https://www.congress.gov/bill/119th-congress/house-bill/4081,No,,119_h.r.4081
