Congress,Chamber,Bill #,Title,Link,Label,Notes,con_legis_num
119,House,H.R. 6792,"To clarify provisions of the United States Mexico-Canada Agreement Implementation Act and Foreign Trade Zones Act with respect to the appropriate tariff treatment of merchandise in a United States foreign-trade zone, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/6792,No,,119_h.r.6792
112,Senate,S. 15,"A bill to prohibit the regulation of carbon dioxide emissions in the United States until China, India, and Russia implement similar reductions.",https://www.congress.gov/bill/112th-congress/senate-bill/15,No,,112_s.15
118,Senate,S. 2754,"A bill to require the Secretary of Health and Human Services to publish all information in the possession of the Department of Health and Human Services relating to the origin of COVID-19, and for other purposes.",https://www.congress.gov/bill/118th-congress/senate-bill/2754,Yes,,118_s.2754
112,House,H.R. 5165,"To suspend temporarily the duty on footwear other than house slippers, for women, valued $9.00/pair or higher.",https://www.congress.gov/bill/112th-congress/house-bill/5165,No,,112_h.r.5165
119,House,H.R. 735,"To authorize the President to take certain actions relating to reciprocal trade, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/735,No,"Targets China, but also targets Europe, Mexico, and Canada, in its proposal",119_h.r.735
112,Senate,S. 2776,A bill to extend the temporary suspension of duty on mixtures of thiophanate methyl and application adjuvants.,https://www.congress.gov/bill/112th-congress/senate-bill/2776,No,,112_s.2776
117,Senate,S.Res. 538,A resolution expressing support for a second United States-Africa Leaders Summit as an important opportunity to strengthen ties between the United States and African partners and build on areas of mutual interest.,https://www.congress.gov/bill/117th-congress/senate-resolution/538,No,,117_s.res.538
119,House,H.R. 600,To prohibit the use of funds to seek membership in the World Health Organization or to provide assessed or voluntary contributions to the World Health Organization.,https://www.congress.gov/bill/119th-congress/house-bill/600,Yes,,119_h.r.600
119,Senate,S. 369,A bill to amend the Internal Revenue Code of 1986 to deny certain green energy tax benefits to companies associated with foreign adversaries.,https://www.congress.gov/bill/119th-congress/senate-bill/369,Yes,,119_s.369
119,Senate,S. 2646,A bill to terminate the United States-People's Republic of China Income Tax Convention if the People's Liberation Army initiates an armed attack against Taiwan.,https://www.congress.gov/bill/119th-congress/senate-bill/2646,Yes,,119_s.2646
119,Senate,S. 1216,"A bill to support Taiwan's international space, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/1216,Yes,,119_s.1216
119,Senate,S. 1434,"A bill to track taxpayer dollars sent to adversarial countries and foreign entities of concern, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/1434,Yes,,119_s.1434
119,House,H.R. 6877,"To support and promote the human rights of Southern Mongolians in the People's Republic of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/6877,Yes,,119_h.r.6877
119,Senate,S. 2384,"A bill to monitor United States investments in entities that are controlled by foreign adversaries, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/2384,Yes,,119_s.2384
119,House,H.R. 4081,"To amend title 18, United States Code, to establish mandatory minimum penalties for economic and defense espionage when committed on behalf of foreign adversaries.",https://www.congress.gov/bill/119th-congress/house-bill/4081,Yes,,119_h.r.4081
119,House,H.R. 6151,"To impose sanctions with respect to foreign persons responsible for violations of the human rights of lesbian, gay, bisexual, transgender, queer, and intersex (LGBTQI) individuals, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/6151,No,,119_h.r.6151
119,Senate,S. 1744,"A bill to amend the Arms Export Control Act to include Taiwan among the list of recipient countries with respect to which shorter certification and reporting periods apply and to expedite licensing for allies transferring military equipment to Taiwan, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/1744,Yes,,119_s.1744
116,House,H.R. 598,"To support the independence, sovereignty, and territorial integrity of Georgia, and for other purposes.",https://www.congress.gov/bill/116th-congress/house-bill/598,No,,116_h.r.598
109,House,H.Res. 1001,Providing for earmarking reform in the House of Representatives.,https://www.congress.gov/bill/109th-congress/house-resolution/1001,No,,109_h.res.1001
119,House,H.Res. 470,"Remembering the victims of the 1989 Tiananmen Square massacre and condemning the continued and intensifying crackdown on human rights and basic freedoms within the People's Republic of China, including the Hong Kong Special Administrative Region, by the Chinese Communist Party, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-resolution/470,Yes,,119_h.res.470
114,Senate,S. 3469,A bill to reinstate reporting requirements related to United States-Hong Kong relations.,https://www.congress.gov/bill/114th-congress/senate-bill/3469,Yes,,114_s.3469
119,House,H.R. 2661,"To require the President to remove the extension of certain privileges, exemptions, and immunities to the Hong Kong Economic and Trade Offices if Hong Kong no longer enjoys a high degree of autonomy from the People's Republic of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2661,Yes,,119_h.r.2661
