Congress,Chamber,Bill #,Title,Link,Label,Notes,con_legis_num
119,Senate,S. 1407,"A bill to ban the use of Federal funds for the purchase of drugs manufactured in the People's Republic of China, and for other purposes.",https://www.congress.gov/bill/119th-congress/senate-bill/1407,Yes,,119_s.1407
119,Senate,S.Res. 355,A resolution requesting information on the Republic of Rwanda's human rights practices pursuant to section 502B(c) of the Foreign Assistance Act of 1961.,https://www.congress.gov/bill/119th-congress/senate-resolution/355,No,,119_s.res.355
119,Senate,S. 2884,A bill to amend the National Defense Authorization Act for Fiscal Year 2000 to extend and modify requirements for an annual report on military and security developments involving the People's Republic of China.,https://www.congress.gov/bill/119th-congress/senate-bill/2884,Yes,,119_s.2884
119,Senate,S. 821,A bill to provide for increased reporting regarding Department of State Taiwan guidelines.,https://www.congress.gov/bill/119th-congress/senate-bill/821,Yes,,119_s.821
102,House,H.R. 3305,"To suspend until January 1, 1995, the duty on Disperse Red 279.",https://www.congress.gov/bill/102nd-congress/house-bill/3305,No,,102_h.r.3305
119,House,H.R. 5287,To require an annual report on the advanced semiconductor manufacturing capabilities of the People's Republic of China.,https://www.congress.gov/bill/119th-congress/house-bill/5287,Yes,,119_h.r.5287
119,House,H.R. 5959,"To reauthorize the North Korean Human Rights Act of 2004, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/5959,No,,119_h.r.5959
119,House,H.R. 4617,"To monitor United States investments in entities that are controlled by foreign adversaries, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/4617,No,Covers foreign adversaries generally,119_h.r.4617
119,House,H.R. 2390,"To amend title 46, United States Code, to clarify that port infrastructure development program funds may be used to replace Chinese port crane hardware or software, and for other purposes.",https://www.congress.gov/bill/119th-congress/house-bill/2390,Yes,,119_h.r.2390
112,Senate,S. 2754,"A bill to extend the temporary suspension of duty on 4,4'-oxydianiline.",https://www.congress.gov/bill/112th-congress/senate-bill/2754,No,,112_s.2754
