con_legis_num,congress,title,manual_coding,split,source
110_h.r.744,110,"To enhance congressional oversight of Operation Iraqi Freedom by requiring the President to transmit periodically to Congress a consolidated, comprehensive report to detail the terms of completion for Operation Iraqi Freedom and by requiring the President to seek to enter into a multilateral agreement to help provide for the completion of Operation Iraqi Freedom.",0,train,intern_2026
112_h.r.5223,112,"To suspend temporarily the duty on hand operated globe type valves of steel, having an opening less than approximately 7.62 cm. in diameter and certified by the importer as meeting ASME B16.34 certification requirements as approved for use in nuclear facilities.",0,train,intern_2026
103_h.r.1307,103,To prohibit the involuntary return to Haiti of Haitian refugees outside the United States.,0,train,intern_2026
108_s.2774,108,"A bill to implement the recommendations of the National Commission on Terrorist Attacks Upon the United States, and for other purposes.",0,train,intern_2026
109_h.res.545,109,Expressing the sense of the House of Representatives on the arrest of Sanjar Umarov in Uzbekistan.,0,train,intern_2026
109_s.3311,109,A bill to suspend temporarily the duty on certain electrical transformers.,0,train,intern_2026
109_h.r.2003,109,To amend the Harmonized Tariff Schedule of the United States to remove the 100 percent tariff imposed on Roquefort cheese.,0,train,intern_2026
107_s.2320,107,A bill to provide for the liquidation for reliquidation of certain entries of certain manufacturing equipment.,0,train,intern_2026
101_s.803,101,"A bill to temporarily suspend the duty on 4,4'-isopropylidenedicyclohexanol.",0,train,intern_2026
101_s.1059,101,"A bill to amend and enhance existing renewable energy programs and Federal trade and export promotion programs in order to promote the United States renewable energy industry, improve the trade balance of the United States, and maintain the competitive and technical leadership of the United States in renewable energy development and trade.",0,train,intern_2026
101_h.r.1156,101,To suspend temporarily the duty on a certain chemical intermediate.,0,train,intern_2026
103_h.r.3475,103,To prohibit all United States military and economic assistance for Turkey until the Turkish Government takes certain actions to resolve the Cyprus problem and complies with its obligation under international law.,0,train,intern_2026
108_h.r.1978,108,To suspend temporarily the duty on TMP Oxetane (TMPO).,0,train,intern_2026
105_h.r.3150,105,"To amend title 11 of the United States Code, and for other purposes.",0,train,intern_2026
105_s.1550,105,"A bill to suspend until December 31, 2002, the duty on Benzoic acid, 4-{{(2,5-dichlorophenyl)amino}carbonyl}-2-{{2-hydroxy-3-{{(2-methoxyphenyl)amino}carbonyl}-1-naphthalenyl}-,methyl ester.",0,train,intern_2026
111_s.2062,111,"A bill to extend the suspension of duty on phosphoric acid, tris (2-ethylhexyl) ester.",0,train,intern_2026
102_s.2923,102,"A bill to extend until January 1, 1995, the existing suspension of duty on furniture of unspun fibrous vegetable materials.",0,train,intern_2026
109_s.3203,109,"A bill to suspend temporarily the duty on 1-propene, 1,1,2,3,3,3-hexafluoror-, oxidized, polymerized, reduced hydrolyzed.",0,train,intern_2026
114_s.j.res.11,114,A joint resolution disapproving the action of the District of Columbia Council in approving the Human Rights Amendment Act of 2014.,0,train,intern_2026
101_s.2759,101,"A bill to authorize appropriations for fiscal year 1991 for the Federal Maritime Commission, and for other purposes.",0,train,intern_2026
107_h.r.4562,107,To suspend temporarily the duty on upholstery leather.,0,train,intern_2026
102_h.r.3305,102,"To suspend until January 1, 1995, the duty on Disperse Red 279.",0,train,intern_2026
109_h.r.2537,109,To extend the suspension of duty on certain organic pigments and dyes.,0,train,intern_2026
102_h.r.1519,102,To suspend temporarily the duty on octadecyl isocyanate.,0,train,intern_2026
102_s.2648,102,"A bill to suspend temporarily the duty on 3,7,11,15, tetramethyl-1-hexadecen-3-01.",0,train,intern_2026
109_s.3260,109,A bill to suspend temporarily the duty on plastic lamp-holder housings containing sockets.,0,train,intern_2026
111_h.res.705,111,Condemning hard-labor prison camps in the Democratic People's Republic of Korea as an egregious violation of human rights.,0,train,intern_2026
101_s.2581,101,"A bill to assist the East European countries to establish societies based on democratic institutions, a commitment to human rights, and free market principles.",0,train,intern_2026
107_s.res.283,107,A resolution recognizing the successful completion of democratic elections in the Republic of Colombia.,0,train,intern_2026
102_h.r.1853,102,"To provide for the duty-free liquidation or reliquidation of, and the refund of customs duties for, certain entries of tissue paper products.",0,train,intern_2026
111_h.res.687,111,Amending the Rules of the House of Representatives to provide greater transparency on earmark requests.,0,train,intern_2026
112_h.r.4796,112,To extend the temporary suspension of duty on electromechanical ice shavers.,0,train,intern_2026
112_s.3269,112,A bill to provide that no United States assistance may be provided to Pakistan until Dr. Shakil Afridi is freed.,0,train,intern_2026
112_h.r.5692,112,To extend the suspension of duty on Interam mats.,0,train,intern_2026
111_h.r.1980,111,"To continue restrictions against and prohibit diplomatic recognition of the Government of North Korea, and for other purposes.",0,train,intern_2026
106_s.2143,106,A bill to suspend temporarily the duty on certain fluoride compounds.,0,train,intern_2026
105_h.con.res.22,105,"Expressing the sense of the Congress with respect to the discrimination by the German Government against members of minority religious groups, particularly the continued and increasing discrimination by the German Government against performers, entertainers, and other artists from the United States associated with Scientology.",0,train,intern_2026
112_s.2640,112,A bill to suspend temporarily the duty on potassium persulfate encapsulated in cellulose acetate butyrate.,0,train,intern_2026
107_h.r.4463,107,To provide for the liquidation or reliquidation of certain entries.,0,train,intern_2026
112_h.r.5173,112,"To suspend temporarily the duty on women's belts of leather or composition leather, each valued $7.00 or higher.",0,train,intern_2026
106_h.r.2064,106,To suspend temporarily the duty on instant print film.,0,train,intern_2026
104_s.1356,104,"A bill to amend the Shipping Act of 1984 to provide for ocean shipping reform, and for other purposes.",0,train,intern_2026
106_s.2175,106,A bill to suspend temporarily the duty on 1-fluoro-2-nitro-benzene.,0,train,intern_2026
